Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
12805,"Harrington HealthCare System, Inc.",HHS,12805,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$8,228,910",,"$58,211,879","$18,719,337","$613,690",,"$4,856,329","$90,630,145","$10,133,509","$71,185",,,"$162,188,809","$111,782,584","$50,406,225","$3,807,124","$64,418,043","$155,048,188","$1,390,261","$722,760","$41,450","$40,697,702","$42,852,173","$26,306,824",,"$4,711,762","$31,018,586","$73,870,759","$71,910,725","$1,453,003","$7,813,701","$81,177,429","$155,048,188","$163,040,425",,"$15,001,506",,,"$196,821","$178,238,752","$973,288","$72,586",,"$2,818,787",,"$3,864,661","$182,103,413","$107,853,285",,"$6,184,404","$1,069,454","$1,385,611","$60,272,246",,"$176,765,000","$5,338,413","$634,267","$452,045","$6,424,725",,,"$6,424,725",0.8%,2.1%,2.9%,2.1,42,90,5.1,16.7%,52.4%,18,"$5,338,413",0.8%,2.1%,2.9%
348,Harrington Physician Services,PhysicianOrganization,12805,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$22,693,887",,"$1,411,471",,,,"$24,105,358",,,,"($17,577)",,"($17,577)","$24,087,781","$26,206,138",,"$259,329",,,"$6,897,008",,"$33,362,475","($9,274,694)","$9,877,579",,"$602,885",,,"$602,885",-38.4%,-0.1%,-38.5%,-,,,0.0,,,0,"($9,274,694)",-38.4%,-0.1%,-38.5%
51,Dana-Farber Cancer Institute,AcuteHospital,13155,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$148,704,092",,"$725,864","$174,771,544",,,"$317,836,618","$642,038,118",,"$45,202,284",,,"$2,101,809,014","$1,098,133,350","$1,003,675,664","$2,855,434,073","$3,904,312,021","$4,546,350,138","$6,257,122","$50,808,197",,"$478,810,260","$535,875,579","$568,525,695",,"$499,145,294","$1,067,670,988","$1,603,546,567","$1,353,169,948","$1,331,967,950","$257,665,673","$2,942,803,571","$4,546,350,138","$1,589,860,623",,"$336,524,904","$23,517,215",,"$102,237,861","$2,052,140,604","($721,248)","$232,281,500",,"$279,127,590",,"$510,687,842","$2,562,828,446","$685,231,895",,"$97,913,830","$15,635,142","$25,681,133","$1,412,317,377",,"$2,236,779,377","$326,049,070",,"$1,514,026","$327,563,096","$7,027,779",,"$334,590,875",-7.2%,19.9%,12.7%,1.2,40,83,20.1,38.4%,64.7%,11,"$302,531,854",-8.2%,20.1%,11.9%
13155,"Dana-Farber Cancer Institute, Inc. and Subsidiaries",HHS,13155,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$152,196,172",,"$725,864","$174,771,544",,,"$272,252,096","$599,945,676",,"$45,202,284",,,"$2,101,809,014","$1,098,133,350","$1,003,675,664","$2,855,434,073","$3,904,312,021","$4,504,257,697","$6,257,122","$50,808,197",,"$479,202,514","$536,267,832","$568,525,695",,"$499,145,294","$1,067,670,988","$1,603,938,821","$1,310,610,011","$1,332,043,192","$257,665,673","$2,900,318,876","$4,504,257,697","$1,598,788,725",,"$336,219,789","$24,021,584",,"$102,237,861","$2,061,267,960","($721,248)","$232,283,045",,"$279,127,590",,"$510,689,387","$2,571,957,347","$688,463,667",,"$98,012,816","$15,635,142","$25,681,133","$1,420,768,977",,"$2,248,561,735","$323,395,612",,"$1,514,026","$324,909,638","$7,027,779",,"$331,937,417",-7.3%,19.9%,12.6%,1.1,40,82,20.0,38.1%,64.4%,11,"$299,374,028",-8.3%,20.0%,11.7%
83,Lawrence General Hospital,AcuteHospital,13156,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$21,291,000",,,"$36,919,000","$5,093,000","$2,075,000","$38,287,000","$103,665,000","$19,660,000",,"$19,771,000",,"$259,018,000","$156,699,000","$102,319,000","$58,513,000","$200,263,000","$303,928,000","$1,352,000",,"$632,000","$75,175,000","$77,159,000","$71,698,000",,"$82,237,000","$153,935,000","$231,094,000","$71,734,000",,"$1,100,000","$72,834,000","$303,928,000","$282,885,000",,"$32,746,000",,,,"$315,631,000","$125,000",,"$2,173,000","$874,000",,"$3,172,000","$318,803,000","$136,485,000",,"$13,429,000","$3,955,000","$3,520,468","$168,959,532",,"$326,349,000","($7,546,000)","($13,688,000)","$211,000","($21,023,000)",,,"($21,023,000)",-3.4%,1.0%,-2.4%,1.3,48,90,1.9,4.0%,24.0%,12,"($7,546,000)",-3.4%,1.0%,-2.4%
13156,Lawrence General Hospital and Affiliates,HHS,13156,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$24,938,000","$20,603,000","$89,000","$38,116,000",,"$2,075,000","$40,092,000","$125,913,000","$21,720,000","$68,000",,,"$298,483,127","$161,553,159","$136,929,968","$61,236,000","$219,953,968","$345,866,968","$11,980,000",,,"$79,817,000","$91,797,000","$103,030,000",,"$84,879,000","$187,909,000","$279,706,000","$62,879,968","$2,181,000","$1,100,000","$66,160,968","$345,866,968","$291,196,000",,"$37,965,000",,,"$246,000","$329,407,000","$412,000",,,"$2,929,000",,"$3,341,000","$332,748,000","$145,293,000",,"$14,503,000","$5,537,000","$3,520,468","$180,212,532",,"$349,066,000","($16,318,000)",,"($660,000)","($16,978,000)",,,"($16,978,000)",-5.9%,1.0%,-4.9%,1.4,48,100,0.2,-0.9%,19.1%,11,"($16,318,000)",-5.9%,1.0%,-4.9%
13118,"Community Medical Associates, Inc.",PhysicianOrganization,13156,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$4,376,000",,"$2,276,000",,,,"$6,652,000",,,,"($457,000)",,"($457,000)","$6,195,000","$6,495,000",,"$101,000",,,"$6,670,000",,"$13,266,000","($7,071,000)","$7,205,000",,"$134,000",,,"$134,000",-106.8%,-7.4%,-114.1%,-,,,0.0,,,0,"($7,071,000)",-106.8%,-7.4%,-114.1%
97,Milford Regional Medical Center,AcuteHospital,13157,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$1,796,831","$64,081,536","$4,155,480","$28,039,180",,,"$10,474,176","$108,547,203","$20,852,542","$6,556,773",,,"$275,548,816","$130,871,911","$144,676,905","$13,758,705","$185,844,925","$294,392,128","$1,995,000","$32,575,130",,"$24,229,957","$58,800,087","$102,061,593",,"$14,156,398","$116,217,991","$175,018,078","$110,456,551",,"$8,917,499","$119,374,050","$294,392,128","$232,203,284",,"$7,992,715",,"$1,896,497",,"$242,092,496","$7,264,531","$288,581",,"($71,643)",,"$7,481,469","$249,573,965","$135,005,496",,"$11,286,235","$4,763,020","$3,505,739","$96,786,365",,"$251,346,855","($1,772,890)","($7,648,156)","$1,999,237","($7,421,809)",,"($39,510)","($7,461,319)",-3.7%,3.0%,-0.7%,1.8,44,40,2.1,5.9%,40.5%,12,"($3,669,387)",-4.5%,3.0%,-1.5%
13157,"Milford Regional Medical Center, Inc. and Affiliates",HHS,13157,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$972,419","$64,081,536","$4,155,480","$33,348,892",,,"$19,005,545","$121,563,872","$25,795,725","$6,556,771",,,"$290,340,778","$141,790,976","$148,549,802","$46,529,070","$227,431,368","$348,995,240","$1,995,000","$34,224,451",,"$36,648,143","$72,867,594","$102,061,593",,"$50,549,316","$152,610,909","$225,478,503","$114,599,238",,"$8,917,499","$123,516,737","$348,995,240","$312,988,289",,"$14,775,002","$793,726","$1,896,497",,"$330,453,514","$7,268,762","$288,581",,"($74,711)",,"$7,482,632","$337,936,146","$208,108,359",,"$12,427,472","$4,763,020","$3,505,739","$113,533,832",,"$342,338,422","($4,402,276)",,"$1,999,237","($2,403,039)",,"($200,521)","($2,603,560)",-3.5%,2.2%,-1.3%,1.7,39,43,1.9,4.6%,35.4%,11,"($7,092,499)",-4.3%,2.2%,-2.1%
8750,Milford Regional Physician Group,PhysicianOrganization,13157,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$80,785,005",,"$16,816,975","$793,726",,,"$98,395,706","$4,231",,,"($3,068)",,"$1,163","$98,396,869","$73,102,863",,"$1,141,237",,,"$26,782,154",,"$101,026,254","($2,629,385)","$7,648,156",,"$5,018,771",,"($161,011)","$4,857,760",-2.7%,,-2.7%,-,,,0.0,,,0,"($3,423,111)",-3.5%,,-3.5%
6963,Shriners Hospitals for Children Boston,AcuteHospital,13158,2021,Dec 31,5,12,"01/01/2021-12/31/2021
","$631,000",,,"$765,000","$230,000",,"$562,000","$2,188,000",,,,,"$122,357,752","$78,385,566","$43,972,186","$2,061,854","$46,034,040","$48,222,040",,,"$3,732,000",,"$3,732,000",,,,-,"$3,732,000","$44,490,000",,,"$44,490,000","$48,222,000","$4,686,000",,"$6,231,905",,,,"$10,917,905",,,,,,-,"$10,917,905","$15,707,719",,"$4,338,686",,"$97,905","$20,070,595",,"$40,214,905","($29,297,000)","$25,067,000",,"($4,230,000)",,,"($4,230,000)",-268.3%,,-268.3%,0.6,60,38,0.0,-668.8%,92.3%,18,"($29,297,000)",-268.3%,,-268.3%
11718,Shriners Hospitals for Children Springfield,AcuteHospital,13158,2021,Dec 31,5,12,"01/01/2021-12/31/2021
","$273,000",,,"$1,070,000","$30,000",,"$362,000","$1,735,000",,,,,"$38,697,214","$28,363,618","$10,333,596","$7,645","$10,341,241","$12,076,241",,,"$2,111,000",,"$2,111,000",,,,-,"$2,111,000","$9,965,000",,,"$9,965,000","$12,076,000","$7,622,000",,"$3,813,220",,,,"$11,435,220",,,,,,-,"$11,435,220","$13,568,062",,"$1,237,741",,"$199,220","$7,934,197",,"$22,939,220","($11,504,000)","$10,901,000",,"($603,000)",,,"($603,000)",-100.6%,,-100.6%,0.8,51,36,0.0,-486.3%,82.5%,23,"($11,504,000)",-100.6%,,-100.6%
13158,Shriners Hospitals for Children,HHS,13158,2021,Dec 31,5,12,"01/01/2021-12/31/2021
","$47,788,000",,"$859,006,000","$27,804,000","$17,380,000",,"$10,771,922,000","$11,723,900,000",,,,,"$766,208,000",,"$766,208,000",,"$766,208,000","$12,490,108,000",,,,"$1,180,395,000","$1,180,395,000",,,,-,"$1,180,395,000","$9,837,964,000","$1,471,749,000",,"$11,309,713,000","$12,490,108,000","$177,689,000",,"$536,952,000",,,,"$714,641,000","$999,162,000",,,,,"$999,162,000","$1,713,803,000",,,,,,"$1,010,349,000",,"$1,010,349,000","$703,454,000","$199,061,000",,"$902,515,000",,,"$902,515,000",-17.3%,58.3%,41.0%,9.9,57,426,0.0,59.6%,90.5%,0,"$703,454,000",-17.3%,58.3%,41.0%
3108,Cambridge Health Alliance,AcuteHospital,13159,2021,Jun 30,5,12,"07/01/2020-06/30/2021
","$275,299,738","$73,524,290",,"$26,140,667",,"$105,059,750","$22,276,400","$502,300,845","$6,821,883",,,,"$612,953,774","$452,460,124","$160,493,650","$30,304,491","$197,620,024","$699,920,869","$69,042","$22,339,763",,"$100,950,492","$123,359,297","$5,582,666",,"$271,797,394","$277,380,060","$400,739,357","$292,423,301",,"$6,758,208","$299,181,509","$699,920,866","$618,292,898",,"$138,541,151",,,,"$756,834,049","($921,564)","$18,091,988",,"$63,312,115",,"$80,482,539","$837,316,588","$501,720,313",,"$23,785,910","$5,058","$2,067,331","$259,683,211",,"$787,261,823","$50,054,765",,,"$50,054,765",,,"$50,054,765",-3.6%,9.6%,6.0%,4.1,15,48,996.6,57.3%,42.7%,19,"$50,054,765",-3.6%,9.6%,6.0%
13159,Cambridge Health Alliance,HHS,13159,2021,Jun 30,5,12,"07/01/2020-06/30/2021
","$275,299,738","$73,524,290",,"$26,140,667",,"$105,059,750","$22,276,400","$502,300,845","$6,821,883",,,,"$612,953,774","$452,460,124","$160,493,650","$30,304,491","$197,620,024","$699,920,869","$69,042","$22,339,763",,"$100,950,492","$123,359,297","$5,582,666",,"$271,797,394","$277,380,060","$400,739,357","$292,423,301",,"$6,758,208","$299,181,509","$699,920,866","$618,292,898",,"$138,541,151",,,,"$756,834,049","($921,564)","$18,091,988",,"$63,312,115",,"$80,482,539","$837,316,588","$501,720,313",,"$23,785,910","$5,058","$2,067,331","$259,683,211",,"$787,261,823","$50,054,765",,,"$50,054,765",,,"$50,054,765",-3.6%,9.6%,6.0%,4.1,15,48,996.6,57.3%,42.7%,19,"$50,054,765",-3.6%,9.6%,6.0%
46,Boston Children's Hospital,AcuteHospital,14286,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$1,862,000",,,"$261,510,000","$3,182,384,000","$69,000","$282,346,000","$3,728,171,000","$1,790,766,000","$77,523,000",,,"$3,960,230,000","$2,079,921,000","$1,880,309,000","$424,031,000","$4,172,629,000","$7,900,800,000",,"$14,359,000",,"$550,222,000","$564,581,000","$1,516,123,000",,"$649,371,000","$2,165,494,000","$2,730,075,000","$3,031,680,000","$1,194,750,000","$944,295,000","$5,170,725,000","$7,900,800,000","$1,485,073,000",,"$436,059,000",,,"$84,151,000","$2,005,283,000","$16,023,000","$8,066,000",,"$50,759,000","$16,872,000","$91,720,000","$2,097,003,000","$889,346,000",,"$119,826,000","$29,525,000","$26,482,000","$956,692,000",,"$2,021,871,000","$75,132,000","($17,933,000)","$26,242,000","$83,441,000","$131,240,000",,"$214,681,000",-0.8%,4.4%,3.6%,6.6,64,106,7.6,9.4%,65.4%,17,"$75,132,000",-0.8%,4.4%,3.6%
14286,Boston Children's Hospital and Subsidiaries,HHS,14286,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$336,872,000",,,"$351,561,000",,"$69,000","$226,032,000","$914,534,000","$3,694,021,000","$68,948,000",,,"$4,260,582,000","$2,248,577,000","$2,012,005,000","$4,340,094,000","$10,115,068,000","$11,029,602,000","$1,416,000","$14,359,000",,"$637,581,000","$653,356,000","$1,543,096,000",,"$923,802,000","$2,466,898,000","$3,120,254,000","$7,007,435,000","$595,986,000","$305,927,000","$7,909,348,000","$11,029,602,000","$2,268,520,000",,"$516,359,964","$26,451,036",,"$72,424,000","$2,883,755,000","$168,342,000","$7,981,000",,"$450,128,000","$474,191,000","$1,100,642,000","$3,984,397,000","$1,712,542,000",,"$132,962,000","$30,952,000","$26,482,000","$992,805,000",,"$2,895,743,000","$1,088,654,000","$26,244,000",,"$1,114,898,000","$167,504,000",,"$1,282,402,000",-0.3%,27.6%,27.3%,1.4,57,84,38.7,55.6%,71.7%,17,"$1,062,202,964",-1.0%,27.8%,26.8%
14426,"Physicians Organization at Children's Hospital, Inc. and Foundation",PhysicianOrganization,14286,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$670,112,304",,"$132,796,401","$26,451,036",,"$21,462,457","$850,822,198","$14,763,458",,,"$162,590,498","$39,885,458","$217,239,414","$1,068,061,612","$694,657,285",,"$1,497,141",,,"$194,481,065",,"$890,635,491","$177,426,121",,,"$177,426,121","$36,261,830",,"$213,687,951",-3.7%,20.3%,16.6%,-,,,0.0,,,0,"$150,975,085",-6.4%,20.9%,14.5%
3107,Boston Medical Center,AcuteHospital,14287,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$339,850,000","$150,383,000",,"$113,421,000","$90,548,000","$6,987,000","$148,279,000","$849,468,000","$774,720,000","$14,826,000",,,"$2,072,652,000","$1,084,346,000","$988,306,000","$117,424,000","$1,895,276,000","$2,744,744,000","$8,408,000","$80,855,000","$13,748,000","$348,773,000","$451,784,000","$684,697,000",,"$187,734,000","$872,431,000","$1,324,215,000","$1,008,436,000","$371,486,000","$40,606,000","$1,420,528,000","$2,744,743,000","$1,165,412,000",,"$673,867,000","$60,000,000",,"$30,413,000","$1,929,692,000","$34,715,000",,,"$1,726,000",,"$36,441,000","$1,966,133,000","$693,063,000",,"$99,302,000","$24,520,000","$12,918,000","$1,090,309,000",,"$1,920,112,000","$46,021,000","($28,000,000)","$14,698,000","$32,719,000","$14,381,000",,"$47,100,000",0.5%,1.9%,2.3%,1.9,36,74,5.2,12.8%,51.8%,11,"($13,979,000)",-2.6%,1.9%,-0.7%
14287,"Boston Medical Center Health System, Inc.",HHS,14287,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$940,455,000","$150,383,000",,"$112,233,000",,"$801,000","$264,358,000","$1,468,230,000","$902,039,000","$14,826,000",,,"$2,138,010,000","$1,132,747,000","$1,005,263,000","$522,171,000","$2,444,299,000","$3,912,529,000","$8,708,000","$80,855,000",,"$792,566,000","$882,129,000","$685,539,000",,"$291,918,000","$977,457,000","$1,859,586,000","$1,640,851,000","$371,486,000","$40,606,000","$2,052,943,000","$3,912,529,000","$1,096,419,000",,"$3,329,782,000","$60,000,000",,"$30,413,000","$4,516,614,000","$63,335,000",,,"$2,519,000",,"$65,854,000","$4,582,468,000","$1,199,336,000",,"$101,228,000","$24,540,000","$12,918,000","$3,089,661,000",,"$4,427,683,000","$154,785,000",,"$14,698,000","$169,483,000","$14,381,000",,"$183,864,000",1.9%,1.4%,3.4%,1.7,37,68,8.4,16.3%,52.5%,11,"$94,785,000",0.6%,1.5%,2.1%
14418,BMC Faculty Practice Foundation,PhysicianOrganization,14287,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$170,967,000",,"$244,541,000",,,,"$415,508,000","$3,136,000","$793,000",,"$7,476,000",,"$11,405,000","$426,913,000","$377,636,000",,"$626,000","$20,000",,"$41,248,000",,"$419,530,000","$7,383,000","$13,401,000",,"$20,784,000",,,"$20,784,000",-0.9%,2.7%,1.7%,-,,,401.5,,,0,"$7,383,000",-0.9%,2.7%,1.7%
13198,Boston University Affiliated Physicians,PhysicianOrganization,14287,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$227,000",,"$1,310,000",,,,"$1,537,000",,,,,,-,"$1,537,000","$1,366,000",,,,,"$319,000",,"$1,685,000","($148,000)",,,"($148,000)",,,"($148,000)",-9.6%,,-9.6%,-,,,0.0,,,0,"($148,000)",-9.6%,,-9.6%
6547,Mercy Medical Center,AcuteHospital,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
","$2,328,099","$301,313,698",$250,"$34,714,178","$83,167,707",,"$25,111,513","$446,635,445","$5,135,630","$7,640",,,"$286,760,309","$209,901,864","$76,858,445","$34,777,154","$116,778,869","$563,414,314","$2,238,214","$4,611,853","$173,270,470","$68,589,511","$248,710,048","$105,783,187",,"$9,453,365","$115,236,552","$363,946,600","$194,324,194","$4,652,817","$490,703","$199,467,714","$563,414,314","$291,175,801","$2,882,297","$28,842,515","($12,454,894)","$9,039,388","$116,113","$319,601,220","$6,451,028","$27,865",,"$10,821,982",,"$17,300,875","$336,902,095","$117,000,567",,"$12,924,766","$4,220,173","$2,810,894","$184,141,494",,"$321,097,894","$15,804,201",,"($5,272,792)","$10,531,409",,,"$10,531,409",-0.4%,5.1%,4.7%,1.8,44,289,5.1,8.1%,35.4%,16,"$19,219,707",0.6%,5.1%,5.6%
14288,Trinity Health,HHS,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
","$781,989,463","$7,316,256,917","$456,723,330","$2,078,192,079",,"$322,585,567","$1,301,879,877","$12,257,627,233","$6,087,638,178","$19,556,416",,"$5,071,332,936","$18,474,876,815","$10,265,700,020","$8,209,176,795","$1,976,415,194","$21,364,119,519","$33,621,746,752","$975,396,201","$381,119,857",,"$4,381,066,583","$5,737,582,641","$6,339,607,680",,"$3,036,291,679","$9,375,899,359","$15,113,482,000","$17,866,583,304","$404,279,350","$237,402,098","$18,508,264,752","$33,621,746,752","$16,734,960,584","$95,024,910","$2,666,348,730","$618,840,476","$13,579,742","$34,898,657","$20,163,653,099","$2,295,264,810",,"($75,784,092)","$974,918,448",,"$3,194,399,166","$23,358,052,265","$10,295,241,423","$776,748,454","$896,433,962","$236,128,024","$2,810,894","$7,110,531,891","$188,183,637","$19,506,078,285","$3,851,973,980",,"$273,281,367","$4,125,255,347","$776,760,665",,"$4,902,016,012",2.8%,13.7%,16.5%,2.1,45,105,4.1,39.3%,55.0%,11,"$3,219,553,762",0.1%,14.1%,14.2%
14424,"Mercy Medical Group,Inc.",PhysicianOrganization,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$2,914,872",$250,"$1,149,643","($41,736)",,,"$4,023,029",,,,,,-,"$4,023,029","$152,964",,,,,"$7,104,431",,"$7,257,395","($3,234,366)",,,"($3,234,366)",,,"($3,234,366)",-80.4%,,-80.4%,-,,,0.0,,,0,"($3,192,630)",-78.5%,,-78.5%
14425,Mercy Specialist Physicians,PhysicianOrganization,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$2,180,071",,"$28,708","$500,000",,,"$2,708,779",,,,,,-,"$2,708,779","$3,390,684",,"$12,893",,,"$986,762",,"$4,390,339","($1,681,560)",,,"($1,681,560)",,,"($1,681,560)",-62.1%,,-62.1%,-,,,0.0,,,0,"($2,181,560)",-98.8%,,-98.8%
12151,"Mercy Inpatient Medical Associates, Inc",PhysicianOrganization,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,987,596",,"$14,692,500",,,,"$27,680,096",,,,,,-,"$27,680,096","$27,468,369",,"$57,670",,,"$2,961,840",,"$30,487,879","($2,807,783)",,,"($2,807,783)",,,"($2,807,783)",-10.1%,,-10.1%,-,,,0.0,,,0,"($2,807,783)",-10.1%,,-10.1%
16532,"Pioneer Valley Cardiology Associates, Inc",PhysicianOrganization,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$8,315,639","$56,104","$104,359",,,,"$8,476,102",,,,,,-,"$8,476,102","$198,038",,"$11,378",$38,,"$14,256,058",,"$14,465,512","($5,989,410)",,,"($5,989,410)",,,"($5,989,410)",-70.7%,,-70.7%,-,,,0.0,,,0,"($5,989,410)",-70.7%,,-70.7%
16533,"Riverbend Medical Group, Inc",PhysicianOrganization,14288,2021,Jun 30,5,12,"07/01/2020-06/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$59,458,974","$2,265,809","$1,938,221","$14,708,566",,,"$78,371,570",,,,,,-,"$78,371,570","$67,825,694",,"$1,171,503",$423,,"$15,921,683",,"$84,919,303","($6,547,733)",,,"($6,547,733)",,,"($6,547,733)",-8.4%,,-8.4%,-,,,"(12,708.8)",,,0,"($21,256,299)",-33.4%,,-33.4%
8702,Beth Israel Deaconess Medical Center,AcuteHospital,16665,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$122,502,000","$810,260,000",,"$193,437,000",,,"$119,981,000","$1,246,180,000","$464,131,000",,,,"$3,047,644,000","$2,169,277,000","$878,367,000","$167,677,000","$1,510,175,000","$2,756,355,000","$29,145,000","$185,589,000",,"$341,136,000","$555,870,000","$554,680,000",,"$342,201,000","$896,881,000","$1,452,751,000","$919,379,000",,"$384,225,000","$1,303,604,000","$2,756,355,000","$1,555,740,000",,"$685,579,000",,,,"$2,241,319,000",,,,"$37,015,000","$53,332,000","$90,347,000","$2,331,666,000","$896,014,000",,"$83,926,000","$4,623,000","$25,247,000","$1,140,494,000",,"$2,150,304,000","$181,362,000","($37,194,000)","$8,652,000","$152,820,000","$41,779,000",,"$194,599,000",3.9%,3.9%,7.8%,2.2,45,65,8.0,23.9%,47.3%,26,"$181,362,000",3.9%,3.9%,7.8%
98,Beth Israel Deaconess Hospital - Milton,AcuteHospital,16665,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$5,274,000","$61,315,000",,"$12,241,000",,,"$5,709,000","$84,539,000","$8,957,000",,,,"$160,095,000","$58,785,000","$101,310,000","$9,054,000","$119,321,000","$203,860,000","$2,640,000","$18,384,000","($4,296,000)","$30,833,000","$47,561,000","$22,597,000",,"$10,360,000","$32,957,000","$80,518,000","$114,385,000",,"$8,957,000","$123,342,000","$203,860,000","$135,730,000",,"$9,539,000",,,,"$145,269,000",,,,"$3,992,000","$2,683,000","$6,675,000","$151,944,000","$65,050,000",,"$8,675,000","$854,000","$1,841,000","$60,350,000",,"$136,770,000","$15,174,000","$665,000",,"$15,839,000","$6,749,000",,"$22,588,000",5.6%,4.4%,10.0%,1.8,33,83,7.1,34.0%,60.5%,7,"$15,174,000",5.6%,4.4%,10.0%
