Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
138,Winchester Hospital,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$60,237,000 ","$196,283,000 ",,"$24,078,000 ",,,,"$14,589,000 ","$295,187,000 ","$27,921,000 ",,,,"$137,311,000 ",,"$137,311,000 ","$41,380,000 ","$206,612,000 ","$501,799,000 ","$3,429,000 ","$38,438,000 ","$7,505,000 ","$36,850,000 ","$86,222,000 ","$82,452,000 ",,"$13,482,000 ","$95,934,000 ","$182,156,000 ","$291,722,000 ","$18,660,300 ","$9,260,700 ","$319,643,000 ","$501,799,000 ","$261,414,000 ",,"$14,994,000 ","$21,099,000 ",,,"$297,507,000 ",,,,"$6,855,000 ",,"$6,855,000 ","$304,362,000 ","$137,284,000 ",,"$17,198,000 ","$2,684,000 ","$1,836,000 ","$119,089,000 ",,"$278,091,000 ","$26,271,000 ","($5,660,000)","$74,000 ","$20,685,000 ",,,"$20,685,000 ",6.40%,2.30%,8.60%,3.4,34,67,7.5,25.80%,63.70%,0,"$5,172,000 ",-0.60%,2.40%,1.80%
1,Anna Jaques Hospital,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$25,136,000 ","$14,283,000 ",,"$13,491,000 ",,,,"$10,803,000 ","$63,713,000 ","$375,000 ",,,,"$35,136,000 ",,"$35,136,000 ","$5,006,000 ","$40,517,000 ","$104,230,000 ","$1,210,000 ","$22,326,000 ",,"$16,065,000 ","$39,601,000 ","$19,946,000 ",,"$35,999,000 ","$55,945,000 ","$95,546,000 ","$8,309,000 ","$341,500 ","$33,500 ","$8,684,000 ","$104,230,000 ","$115,729,000 ",,"$3,994,000 ","$6,616,000 ",,,"$126,339,000 ",,,,"$815,000 ",,"$815,000 ","$127,154,000 ","$70,755,000 ",,"$5,715,000 ","$537,000 ","$1,713,000 ","$54,835,000 ",,"$133,555,000 ","($6,401,000)","($5,300,000)","$133,000 ","($11,568,000)","($945,000)",,"($12,513,000)",-5.70%,0.60%,-5.00%,1.6,43,49,-0.1,-1.20%,8.30%,0,"($13,017,000)",-11.50%,0.70%,-10.80%
16665,Beth Israel Lahey Health,HHS,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$1,282,817,000 ","$1,721,523,000 ",,"$520,484,000 ",,,,"$249,808,000 ","$3,774,632,000 ","$1,023,669,000 ",,,,"$6,444,613,000 ","$4,275,234,000 ","$2,169,379,000 ","$365,064,000 ","$3,558,112,000 ","$7,332,744,000 ","$106,605,000 ","$824,163,000 ","($3,832,000)","$960,356,000 ","$1,887,292,000 ","$1,347,450,000 ",,"$1,044,921,000 ","$2,392,371,000 ","$4,279,663,000 ","$2,374,474,000 ","$678,607,000 ",,"$3,053,081,000 ","$7,332,744,000 ","$5,008,136,000 ",,"$923,582,000 ","$335,473,000 ","$6,418,000 ",,"$6,273,609,000 ",,,,"$45,549,000 ","($6,578,000)","$38,971,000 ","$6,312,580,000 ","$3,719,914,000 ",,"$269,538,000 ","$31,855,000 ","$42,122,923 ","$2,176,119,077 ",,"$6,239,549,000 ","$73,031,000 ",,"$9,186,000 ","$82,217,000 ","($111,457,000)",,"($29,240,000)",0.50%,0.60%,1.20%,2,38,65,2.7,10.60%,41.60%,16,"($268,860,000)",-5.20%,0.70%,-4.50%
9914,Harvard Medical Faculty Physicians,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$366,671,000 ",,"$321,792,000 ","$12,700,000 ",,,"$701,163,000 ",,,,"$4,207,000 ","$1,027,000 ","$5,234,000 ","$706,397,000 ","$613,160,000 ",,"$1,221,000 ",,,"$85,776,000 ",,"$700,157,000 ","$6,240,000 ",,,"$6,240,000 ",,,"$6,240,000 ",0.10%,0.70%,0.90%,-,,,0,,,0,"($6,460,000)",-1.70%,0.80%,-0.90%
11801,The Affiliated Physicians Group,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$61,763,000 ",,"$22,427,000 ","$1,451,000 ",,,"$85,641,000 ",,,,,,-,"$85,641,000 ","$93,098,000 ",,"$2,630,000 ",,,"$23,200,000 ",,"$118,928,000 ","($33,287,000)","$33,287,000 ",,,,,-,-38.90%,,-38.90%,-,,,0,,,0,"($34,738,000)",-41.30%,,-41.30%
12037,"Jordan Physician Associates, Inc",PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$26,508,000 ",,"$3,340,000 ","$702,000 ",,,"$30,550,000 ",,,,,,-,"$30,550,000 ","$31,141,000 ",,"$329,000 ",,,"$9,577,000 ",,"$41,047,000 ","($10,497,000)","$8,123,000 ",,"($2,374,000)",,,"($2,374,000)",-34.40%,,-34.40%,-,,,0,,,0,"($11,199,000)",-37.50%,,-37.50%
8655,New England Baptist Medical Associates,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$5,458,000 ",,"$5,034,000 ","$255,000 ",,,"$10,747,000 ",,,,,,-,"$10,747,000 ","$12,091,000 ",,,,,"$2,499,000 ",,"$14,590,000 ","($3,843,000)","$3,282,000 ",,"($561,000)",,,"($561,000)",-35.80%,,-35.80%,-,,,0,,,0,"($4,098,000)",-39.10%,,-39.10%
17749,New England Baptist Physician  Group,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$66,000 ",,,"$6,000 ",,,"$72,000 ",,,,,,-,"$72,000 ",,,,,,"$72,000 ",,"$72,000 ",-,"($31,000)",,"($31,000)",,,"($31,000)",,,,-,,,0,,,0,"($6,000)",-9.10%,,-9.10%
11404,Mount Auburn Professional Services,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$64,967,000 ",,"$11,542,000 ","$1,462,000 ",,,"$77,971,000 ",,,,,,-,"$77,971,000 ","$82,129,000 ",,"$974,000 ",,,"$27,474,000 ",,"$110,577,000 ","($32,606,000)","$26,816,000 ",,"($5,790,000)",,,"($5,790,000)",-41.80%,,-41.80%,-,,,0,,,0,"($34,068,000)",-44.50%,,-44.50%
11761,Community Physicians Associates,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$3,887,000 ",,"$627,000 ","$115,000 ",,,"$4,629,000 ",,,,,,-,"$4,629,000 ","$4,779,000 ",,"$8,000 ",,,"$1,869,000 ",,"$6,656,000 ","($2,027,000)","$2,234,000 ",,"$207,000 ",,,"$207,000 ",-43.80%,,-43.80%,-,,,0,,,0,"($2,142,000)",-47.50%,,-47.50%
14421,Lahey Clinic,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$246,124,000 ",,"$20,564,000 ","$5,874,000 ",,,"$272,562,000 ",,,,"$784,000 ",,"$784,000 ","$273,346,000 ","$322,053,000 ",,"$5,704,000 ","$359,000 ",,"$52,884,000 ",,"$381,000,000 ","($107,654,000)","$107,858,000 ",,"$204,000 ",,,"$204,000 ",-39.70%,0.30%,-39.40%,-,,,0,,,0,"($113,528,000)",-42.70%,0.30%,-42.40%
14422,Lahey Physician Community Org,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$20,756,000 ",,"$1,512,000 ","$301,000 ",,,"$22,569,000 ",,,,"($28,000)",,"($28,000)","$22,541,000 ","$22,674,000 ",,"$955,000 ",,,"$7,407,000 ",,"$31,036,000 ","($8,495,000)","$8,495,000 ",,,,,-,-37.60%,-0.10%,-37.70%,-,,,0,,,0,"($8,796,000)",-39.40%,-0.10%,-39.60%
11408,Northeast Medical Practice,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$26,738,000 ",,"$1,729,000 ","$559,000 ",,,"$29,026,000 ",,,,"($21,000)",,"($21,000)","$29,005,000 ","$28,755,000 ",,"$426,000 ",,,"$18,137,000 ",,"$47,318,000 ","($18,313,000)","$18,140,000 ",,"($173,000)",,,"($173,000)",-63.10%,-0.10%,-63.10%,-,,,0,,,0,"($18,872,000)",-66.30%,-0.10%,-66.30%
12022,Winchester Physician Associates,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$38,126,000 ",,"$4,458,000 ","$1,277,000 ",,,"$43,861,000 ",,,,"($8,000)",,"($8,000)","$43,853,000 ","$36,328,000 ",,"$368,000 ",,,"$14,670,000 ",,"$51,366,000 ","($7,513,000)","$3,500,000 ",,"($4,013,000)",,,"($4,013,000)",-17.10%,,-17.10%,-,,,0,,,0,"($8,790,000)",-20.60%,,-20.60%
11915,Seacoast Affiliated Group Practice,PhysicianOrganization,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,880,000 ",,"$554,000 ","$325,000 ",,,"$13,759,000 ",,,,,,-,"$13,759,000 ","$12,148,000 ",,"$107,000 ",,,"$5,260,000 ",,"$17,515,000 ","($3,756,000)","$5,300,000 ",,"$1,544,000 ",,,"$1,544,000 ",-27.30%,,-27.30%,-,,,0,,,0,"($4,081,000)",-30.40%,,-30.40%
