Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"
12118,Berkshire Orthopaedic Associates,PhysicianOrganization,3106,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$9,660,487",,"$93,763",,,,"$9,754,250",,,,,,-,"$9,754,250","$11,239,075",,,,,"$2,369,343",,"$13,608,418","($3,854,168)","$3,842,508",,"($11,660)",,,"($11,660)",-39.5%,,-39.5%,-,,,,,,
16665,Beth Israel Lahey Health,HHS,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$175,622,000","$2,127,730,000",,"$722,681,000",,,"$425,659,000","$3,451,692,000","$881,225,000",,,,"$7,604,090,000","$4,891,559,000","$2,712,531,000","$970,968,000","$4,564,724,000","$8,016,416,000","$55,996,000","$170,431,000",,"$1,145,254,000","$1,371,681,000","$1,612,180,000",,"$1,063,913,000","$2,676,093,000","$4,047,774,000","$3,150,221,000","$818,421,000",,"$3,968,642,000","$8,016,416,000","$6,439,324,000",,"$1,254,834,000",,,,"$7,694,158,000","$189,132,000",,,"$198,076,000",,"$387,208,000","$8,081,366,000","$4,696,382,000",,"$282,646,000","$48,767,000","$89,592,000","$2,707,987,000",,"$7,825,374,000","$255,992,000",,"$99,870,000","$355,862,000","$95,346,000",,"$451,208,000",-1.6%,4.8%,3.2%,2.5,41,58,4.0,12.3%,49.5%,17
1,Anna Jaques Hospital,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$2,545,000","$17,870,000",,"$19,612,000",,,"$7,643,000","$47,670,000","$13,189,000",,,,"$68,455,000","$28,524,000","$39,931,000","$11,625,000","$64,745,000","$112,415,000","$620,000","$1,161,000",,"$44,653,000","$46,434,000","$15,747,000",,"$19,018,000","$34,765,000","$81,199,000","$18,027,000","$7,561,000","$5,628,000","$31,216,000","$112,415,000","$143,853,000",,"$5,213,000",,,,"$149,066,000","$1,950,000",,,"($1,075,000)",,"$875,000","$149,941,000","$78,125,000",,"$5,644,000","$506,000","$2,924,000","$76,032,000",,"$163,231,000","($13,290,000)",,"$101,000","($13,189,000)","$4,260,000",,"($8,929,000)",-9.4%,0.6%,-8.9%,1.0,50,105,(6.3),-12.3%,27.8%,5
98,Beth Israel Deaconess Hospital - Milton,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$4,351,000","$35,139,000",,"$17,368,000",,,"$2,627,000","$59,485,000","$10,066,000",,,,"$169,010,000","$75,751,000","$93,259,000","$8,852,000","$112,177,000","$171,662,000","$2,910,000","$2,228,000",,"$31,737,000","$36,875,000","$16,252,000",,"$7,231,000","$23,483,000","$60,358,000","$101,238,000","$7,139,000","$2,927,000","$111,304,000","$171,662,000","$146,980,000",,"$5,484,000",,,,"$152,464,000","$4,900,000",,,"($905,000)",,"$3,995,000","$156,459,000","$82,498,000",,"$9,017,000","$39,000","$3,385,000","$59,108,000",,"$154,047,000","$2,412,000","($3,303,000)",,"($891,000)","$2,729,000",,"$1,838,000",-1.0%,2.6%,1.5%,1.6,43,87,3.9,21.5%,64.8%,8
53,Beth Israel Deaconess Hospital - Needham,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","($423,000)","$8,323,000",,"$17,326,000",,,"$15,320,000","$40,546,000","$32,195,000",,,,"$198,029,000","$93,372,000","$104,657,000","$6,353,000","$143,205,000","$183,751,000","$2,424,000","$18,000",,"$12,320,000","$14,762,000","$48,777,000",,"$21,345,000","$70,122,000","$84,884,000","$66,672,000","$26,751,000","$5,444,000","$98,867,000","$183,751,000","$143,445,000",,"$4,033,000",,,,"$147,478,000","$671,000",,,"$214,000",,"$885,000","$148,363,000","$73,064,000",,"$8,275,000","$1,879,000","$1,784,000","$55,039,000",,"$140,041,000","$8,322,000",,,"$8,322,000",,,"$8,322,000",5.0%,0.6%,5.6%,2.7,44,41,4.3,26.1%,53.8%,11
79,Beth Israel Deaconess Hospital - Plymouth,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$640,000","$22,889,000",,"$31,829,000",,,"$8,284,000","$63,642,000","$14,554,000",,,,"$214,439,000","$89,333,000","$125,106,000","$11,198,000","$150,858,000","$214,500,000","$3,976,000","$4,970,000",,"$56,344,000","$65,290,000","$38,518,000",,"$13,315,000","$51,833,000","$117,123,000","$82,823,000","$4,018,000","$10,536,000","$97,377,000","$214,500,000","$358,095,000",,"$7,952,000",,,,"$366,047,000","$2,980,000",,,"($490,000)",,"$2,490,000","$368,537,000","$180,903,000",,"$9,452,000","$1,709,000","$6,755,000","$166,255,000",,"$365,074,000","$3,463,000","($13,019,000)","$1,786,000","($7,770,000)","$3,381,000",,"($4,389,000)",0.3%,0.7%,0.9%,1.0,32,62,2.6,12.4%,45.4%,9
8702,Beth Israel Deaconess Medical Center,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","($50,984,000)","$642,610,000",,"$237,793,000",,,"$633,855,000","$1,463,274,000","$309,730,000",,,,"$3,364,325,000","$2,275,905,000","$1,088,420,000","$246,934,000","$1,645,084,000","$3,108,358,000","$15,630,000","$28,102,000",,"$321,412,000","$365,144,000","$937,943,000",,"$345,465,000","$1,283,408,000","$1,648,552,000","$1,150,076,000","$218,968,000","$90,762,000","$1,459,806,000","$3,108,358,000","$1,938,010,000",,"$741,818,000",,,,"$2,679,828,000","$74,716,000",,,"($19,583,000)",,"$55,133,000","$2,734,961,000","$1,054,258,000",,"$87,957,000","$25,560,000","$29,401,000","$1,377,026,000",,"$2,574,202,000","$160,759,000","($38,631,000)","$81,135,000","$203,263,000","$23,249,000",,"$226,512,000",3.9%,2.0%,5.9%,4.0,45,49,6.7,19.1%,47.0%,26
6546,Lahey Hospital & Medical Center,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$259,000","$335,041,000",,"$123,165,000",,,"$116,872,000","$575,337,000","$136,541,000",,,,"$1,476,604,000","$1,060,110,000","$416,494,000","$41,436,000","$594,471,000","$1,169,808,000","$7,800,000","$23,381,000",,"$223,959,000","$255,140,000","$266,152,000",,"$162,182,000","$428,334,000","$683,474,000","$349,793,000","$52,744,000","$83,797,000","$486,334,000","$1,169,808,000","$1,098,565,000",,"$67,603,000",,,,"$1,166,168,000","$26,880,000",,,"($13,507,000)",,"$13,373,000","$1,179,541,000","$517,299,000",,"$62,536,000","$9,193,000","$16,903,000","$479,267,000",,"$1,085,198,000","$94,343,000","($85,835,000)","$1,306,000","$9,814,000","$47,141,000",,"$56,955,000",6.9%,1.1%,8.0%,2.3,41,83,9.8,30.1%,41.6%,17
100,Mount Auburn Hospital,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","($272,000)","$100,320,000",,"$34,998,000",,,"$9,784,000","$144,830,000","$17,160,000",,,,"$622,663,000","$459,385,000","$163,278,000","$65,225,000","$245,663,000","$390,493,000","$9,570,000","$5,652,000",,"$84,410,000","$99,632,000","$78,224,000",,"$25,212,000","$103,436,000","$203,068,000","$170,265,000","$7,241,000","$9,919,000","$187,425,000","$390,493,000","$343,176,000",,"$17,240,000",,,,"$360,416,000","$16,630,000",,,"$12,000",,"$16,642,000","$377,058,000","$192,631,000",,"$26,310,000","$3,302,000","$4,966,000","$164,800,000",,"$392,009,000","($14,951,000)",,"$14,419,000","($532,000)","$28,000",,"($504,000)",-8.4%,4.4%,-4.0%,1.5,37,94,1.1,6.4%,48.0%,17
103,New England Baptist Hospital,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$13,000","$73,711,000",,"$21,686,000",,,"$56,973,000","$152,383,000","$31,208,000",,,,"$266,461,000","$200,423,000","$66,038,000","$33,126,000","$130,372,000","$282,755,000","$2,075,000","($190,000)",,"$23,427,000","$25,312,000","$41,389,000",,"$29,059,000","$70,448,000","$95,760,000","$155,787,000","$10,950,000","$20,258,000","$186,995,000","$282,755,000","$215,746,000",,"$20,752,000",,,,"$236,498,000","$2,796,000",,,"($241,000)",,"$2,555,000","$239,053,000","$98,150,000",,"$9,782,000","$1,456,000","$5,643,000","$127,943,000",,"$242,974,000","($3,921,000)",,,"($3,921,000)","$902,000",,"($3,019,000)",-2.7%,1.1%,-1.6%,6.0,37,40,2.1,8.8%,66.1%,20
3112,Northeast Hospital,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","($45,000)","$201,173,000",,"$42,684,000",,,"$71,123,000","$314,935,000","$25,584,000",,,,"$412,106,000","$305,294,000","$106,812,000","$9,532,000","$141,928,000","$456,863,000","$3,640,000","$9,908,000",,"$40,611,000","$54,159,000","$69,088,000",,"$33,546,000","$102,634,000","$156,793,000","$274,486,000","$14,129,000","$11,455,000","$300,070,000","$456,863,000","$431,130,000",,"$34,910,000",,,,"$466,040,000","$17,620,000",,,"($5,321,000)",,"$12,299,000","$478,339,000","$240,887,000",,"$15,934,000","$1,927,000","$9,080,000","$173,352,000",,"$441,180,000","$37,159,000","($21,717,000)","$732,000","$16,174,000","$7,985,000",,"$24,159,000",5.2%,2.6%,7.8%,5.8,36,38,9.9,43.1%,65.7%,19
138,Winchester Hospital,AcuteHospital,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$1,658,000","$190,924,000",,"$34,358,000",,,"$63,637,000","$290,577,000","$28,743,000",,,,"$279,717,000","$156,949,000","$122,768,000","$42,488,000","$193,999,000","$484,576,000","$3,320,000","$5,102,000",,"$36,890,000","$45,312,000","$70,657,000",,"$14,005,000","$84,662,000","$129,974,000","$325,859,000","$19,235,000","$9,508,000","$354,602,000","$484,576,000","$338,554,000",,"$18,742,000",,,,"$357,296,000","$14,967,000",,,"($215,000)",,"$14,752,000","$372,048,000","$173,649,000",,"$17,672,000","$2,449,000","$8,751,000","$141,400,000",,"$343,921,000","$28,127,000",,"$391,000","$28,518,000",,,"$28,518,000",3.6%,4.0%,7.6%,6.4,37,45,8.4,39.5%,73.2%,9
11801,The Affiliated Physicians Group,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$91,231,000",,"$12,340,000",,,,"$103,571,000",,,,,,-,"$103,571,000","$105,768,000",,"$2,435,000",,,"$33,999,000",,"$142,202,000","($38,631,000)","$38,631,000",,,,,-,-37.3%,,-37.3%,-,,,,,,
11761,Community Physicians Associates,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$4,666,000",,"$97,000",,,,"$4,763,000",,,,,,-,"$4,763,000","$5,259,000",,"$15,000",,,"$1,998,000",,"$7,272,000","($2,509,000)","$4,512,000",,"$2,003,000",,,"$2,003,000",-52.7%,,-52.7%,-,,,,,,
9914,Harvard Medical Faculty Physicians,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$457,852,000",,"$434,277,000",,,,"$892,129,000","$21,651,000",,,"$1,358,000",,"$23,009,000","$915,138,000","$803,577,000",,"$1,522,000",,,"$92,647,000",,"$897,746,000","$17,392,000",,,"$17,392,000",,,"$17,392,000",-0.6%,2.5%,1.9%,-,,,,,,
12037,"Jordan Physician Associates, Inc",PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$31,758,000",,"$5,241,000",,,,"$36,999,000",,,,,,-,"$36,999,000","$42,126,000",,"$441,000",,,"$9,556,000",,"$52,123,000","($15,124,000)","$13,575,000",,"($1,549,000)",,,"($1,549,000)",-40.9%,,-40.9%,-,,,,,,
14421,Lahey Clinic,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$295,944,000",,"$36,593,000",,,,"$332,537,000","($88,000)",,,"($5,789,000)",,"($5,877,000)","$326,660,000","$379,165,000",,"$4,984,000","$189,000",,"$28,153,000",,"$412,491,000","($85,831,000)","$85,836,000",,"$5,000",,,"$5,000",-24.5%,-1.8%,-26.3%,-,,,,,,
14422,Lahey Physician Community Org,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$18,224,000",,"$706,000",,,,"$18,930,000",,,,,,-,"$18,930,000","$17,158,000",,"$768,000",,,"$6,290,000",,"$24,216,000","($5,286,000)",,,"($5,286,000)",,,"($5,286,000)",-27.9%,,-27.9%,-,,,,,,
11404,Mount Auburn Professional Services,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$69,067,000",,"$12,666,000",,,,"$81,733,000",,,,,,-,"$81,733,000","$87,515,000",,"$1,008,000",,,"$37,395,000",,"$125,918,000","($44,185,000)",,,"($44,185,000)",,,"($44,185,000)",-54.1%,,-54.1%,-,,,,,,
8655,New England Baptist Medical Associates,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$9,692,000",,"$81,000",,,,"$9,773,000",,,,,,-,"$9,773,000","$13,913,000",,,,,"$904,000",,"$14,817,000","($5,044,000)",,,"($5,044,000)",,,"($5,044,000)",-51.6%,,-51.6%,-,,,,,,
11408,Northeast Medical Practice,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$41,360,000",,"$1,428,000",,,,"$42,788,000",,,,"($62,000)",,"($62,000)","$42,726,000","$39,179,000",,"$482,000",,,"$24,781,000",,"$64,442,000","($21,716,000)","$21,717,000",,"$1,000",,,"$1,000",-50.7%,-0.1%,-50.8%,-,,,,,,
