Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
"Aroostook Medical Center, The (TAMC)","Net Property, Plant and Equipment",,28696761,27791135,28147582,27857079
"Aroostook Medical Center, The (TAMC)",Total Unrestricted Assets,65977572,70399141,74278215,71818034,70826532
"Aroostook Medical Center, The (TAMC)",Total Current Liabilities,15694331,17817594,20271749,18651840,25290890
"Aroostook Medical Center, The (TAMC)",Current Long Term Debt,,1150000,1195000,1245000,1285000
"Aroostook Medical Center, The (TAMC)",Accounts Payable and Accrued Expenses,10038952,8885347,11108930,11354041,13847228
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,4230209,7418007,7306754,5186763,3447827
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,275170,319240,611065,826036,2275835
"Aroostook Medical Center, The (TAMC)",Other Current Liabilities,,,,,4400000
"Aroostook Medical Center, The (TAMC)",Total Non-current Liabilities,18021262,16868729,20010186,18593502,17065165
"Aroostook Medical Center, The (TAMC)",Long Term Debt,11744875,10493981,9387879,8009278,6595678
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,2988812,2554520,2896300,1741833,1304609
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,19955,4955,4955,,39637
"Aroostook Medical Center, The (TAMC)",Self Insurance Fund,,,,3712355,3560827
"Aroostook Medical Center, The (TAMC)",Accrued Pension and Post Retiree Health Benefits,,,,4922100,5423012
"Aroostook Medical Center, The (TAMC)",Other Non-Current Liabilities,3267620,3815273,7721052,207936,141402
"Aroostook Medical Center, The (TAMC)",Fund Balance Unrestricted,32261979,35712818,33996280,34572693,28470477
"Aroostook Medical Center, The (TAMC)",Total Liabilities & Equity,65977572,70399141,74278215,71818035,70826532
"Aroostook Medical Center, The (TAMC)",Total Restricted Assets,1678811,1609234,1899516,2109911,4351856
"Aroostook Medical Center, The (TAMC)",Cash and Investments,1678811,1609234,1899516,2109911,4351856
"Aroostook Medical Center, The (TAMC)",Receivables,,,,,
"Aroostook Medical Center, The (TAMC)",Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Total Restricted Liabilities and Equity,1678811,1609234,1899516,2109911,4351856
"Aroostook Medical Center, The (TAMC)",Total Restricted Fund Balance,1678811,1609234,1899516,2109911,4351856
"Aroostook Medical Center, The (TAMC)",Total Liabilities,,,,,
"Aroostook Medical Center, The (TAMC)",Temporarily Restricted Net Assets,1002096,932519,1218188,1423583,2661528
"Aroostook Medical Center, The (TAMC)",Permanently Restricted Net Assets,676715,676715,681328,686328,1690328
"Aroostook Medical Center, The (TAMC)",Total Gross Patient Service Revenue,,206070315,213963829,212635473,218236186
"Aroostook Medical Center, The (TAMC)",Gross Inpatient Service Revenue,69655328,70138498,64006035,64730118,69985068
"Aroostook Medical Center, The (TAMC)",Gross Outpatient Service Revenue,136414987,143825331,148629438,153506068,162177726
"Aroostook Medical Center, The (TAMC)",Free Care,,,2979952,2807318,2631931
"Aroostook Medical Center, The (TAMC)",Bad Debt,,,,,3098758
"Aroostook Medical Center, The (TAMC)",Contractuals,105086261,110191970,109798367,113878617,122825312
"Aroostook Medical Center, The (TAMC)",Changes in Prior Year Estimated/Final Settlements,230000,-160000,-498087,-4674003,-2843809
"Aroostook Medical Center, The (TAMC)",Net Patient Service Revenue,94675344,97995548,97374974,101293107,100873213
"Aroostook Medical Center, The (TAMC)",Other Operating Revenue,2220878,2063174,4783098,4140971,4949453
"Aroostook Medical Center, The (TAMC)",Total Operating Revenue,96896222,100058722,102158072,105434078,105822666
"Aroostook Medical Center, The (TAMC)",Total Operating Expenses,96939376,96943396,104235219,104265650,109145082
"Aroostook Medical Center, The (TAMC)",Depreciation and Amortization,3643301,3565334,3504274,3461811,3636974
"Aroostook Medical Center, The (TAMC)",Interest,591915,458613,398091,282268,253397
"Aroostook Medical Center, The (TAMC)",Advertising Expenses,364467,256304,255475,348359,280497
"Aroostook Medical Center, The (TAMC)",Allowed Advertising Expenses,35838,15043,32677,24498,13013
"Aroostook Medical Center, The (TAMC)",Non-Allowed Advertising Expenses,328629,241261,222798,323861,267484
"Aroostook Medical Center, The (TAMC)",Salaries and Benefits,60854362,61167013,66011876,68564383,69210141
"Aroostook Medical Center, The (TAMC)",Other Operating Expenses,31485331,31496132,34065503,31608829,35764073
"Aroostook Medical Center, The (TAMC)",Net Operating Income,-43154,3115326,-2077147,1168428,-3322416
"Aroostook Medical Center, The (TAMC)",Total Non-operating Revenue,243223,434738,267871,103872,-44527
"Aroostook Medical Center, The (TAMC)",Total Investment Income,7135,26060,21179,16131,19303
"Aroostook Medical Center, The (TAMC)",Interest and Dividends,7135,26060,21179,16131,19303
"Aroostook Medical Center, The (TAMC)",Realized Gains/Losses on Sales of Securities,,,,,
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Security Writedowns,,,,,
"Aroostook Medical Center, The (TAMC)",Gains/Losses on Joint Ventures/Equity Investments,236088,408678,246692,87741,-63830
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Writedowns of Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-Operating Revenues,,,,,
"Aroostook Medical Center, The (TAMC)",Excess of Revenue over Expenses,200069,3550064,-1809276,1272300,-3366943
"Aroostook Medical Center, The (TAMC)",Extraordinary Gains/Losses,-503553,,-180397,,
"Aroostook Medical Center, The (TAMC)",Total Surplus/Deficit,-303484,3550064,-1989673,1272300,-3366943
"Aroostook Medical Center, The (TAMC)",Total Change in Unrestricted Net Assets,-349601,3450839,-1716538,576413,-6102217
"Aroostook Medical Center, The (TAMC)",Net Assets Released for Restrictions,,,247279,178511,90341
"Aroostook Medical Center, The (TAMC)",Unrealized Gains/Losses on Investments,,,,,
"Aroostook Medical Center, The (TAMC)",Minimum Pension Liability Adjustment,,,,,
"Aroostook Medical Center, The (TAMC)",Transfers From/To Affiliates,-493396,-277736,182794,-755274,-2777278
"Aroostook Medical Center, The (TAMC)",Mergers,,,,,
"Aroostook Medical Center, The (TAMC)",Consolidations with Support,,,,,
"Aroostook Medical Center, The (TAMC)",Other Changes,200000,,,,
Blue Hill Memorial Hospital,Total Current Assets,4972542,6474441,8274076,9605803,9097553
Blue Hill Memorial Hospital,Cash and Investment,1849292,3176921,4617141,4930494,3687814
Blue Hill Memorial Hospital,Current Assets Whose Use is Limited,461940,48666,47382,48416,48704
Blue Hill Memorial Hospital,Net Patient Accounts Receivable,1430518,1813044,2354405,2832145,3782724
Blue Hill Memorial Hospital,Due from Affiliates,9294,,,119128,50831
Blue Hill Memorial Hospital,Third Party Settlements Receivable,509785,279367,547221,789244,433000
Blue Hill Memorial Hospital,Other Accounts Receivable,329958,257393,102069,227049,618218
Blue Hill Memorial Hospital,Inventory,170356,141313,149181,150696,137222
Blue Hill Memorial Hospital,Other Current Assets,211399,757737,456677,508631,339040
Blue Hill Memorial Hospital,Total Non-Current Assets,19898999,22945716,24958576,26526035,27976126
Blue Hill Memorial Hospital,Trustee Held Investments,,20810,63888,60379,63884
Blue Hill Memorial Hospital,Board Designated and Undesignated Investments,6473581,12378197,13378591,16748565,17801883
Blue Hill Memorial Hospital,Due From Affiliates,,,,,
Blue Hill Memorial Hospital,Investments in Affiliates,,,,,
Blue Hill Memorial Hospital,Other Non-current Assets,4796528,2075889,2824387,1146892,1573881
Blue Hill Memorial Hospital,"Gross Property, Plant and Equipment",,24945017,25746842,26962643,27846683
Blue Hill Memorial Hospital,Accumulated Depreciation,16316127,17276022,18270933,19276484,20080176
Blue Hill Memorial Hospital,"Net Property, Plant and Equipment",,8628890,8470820,8691710,8570199
Blue Hill Memorial Hospital,Total Unrestricted Assets,24871541,29420157,33232652,36131838,37073679
Blue Hill Memorial Hospital,Total Current Liabilities,5200691,7787856,8237263,8923857,8415573
Blue Hill Memorial Hospital,Current Long Term Debt,,211883,145739,100000,105000
Blue Hill Memorial Hospital,Accounts Payable and Accrued Expenses,3186998,2538957,3487992,4171429,3447064
Blue Hill Memorial Hospital,Estimated Third Party Settlements,1668842,4898443,4368189,4313426,4503307
Blue Hill Memorial Hospital,Due to Affiliates,132968,204717,281082,334002,355202
Blue Hill Memorial Hospital,Other Current Liabilities,,,,,
Blue Hill Memorial Hospital,Total Non-current Liabilities,3057354,3255065,4979905,4702342,4919642
Blue Hill Memorial Hospital,Long Term Debt,2309812,2128461,2022458,1911456,1795453
Blue Hill Memorial Hospital,Estimated Third Party Settlements,709540,1103272,1745050,1422498,806351
Blue Hill Memorial Hospital,Due to Affiliates,,,,,
Blue Hill Memorial Hospital,Self Insurance Fund,,,,,
Blue Hill Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,38002,23332,1212397,1368388,2317838
Blue Hill Memorial Hospital,Other Non-Current Liabilities,,,,,
Blue Hill Memorial Hospital,Fund Balance Unrestricted,16613496,18377236,20015484,22505639,23738464
Blue Hill Memorial Hospital,Total Liabilities & Equity,24871541,29420157,33232652,36131838,37073679
Blue Hill Memorial Hospital,Total Restricted Assets,630481,891915,1772026,1975355,2258256
Blue Hill Memorial Hospital,Cash and Investments,630481,891915,1772026,1975355,2258256
Blue Hill Memorial Hospital,Receivables,,,,,
Blue Hill Memorial Hospital,Other Assets,,,,,
Blue Hill Memorial Hospital,Total Restricted Liabilities and Equity,630481,891915,1772026,1975355,2258256
Blue Hill Memorial Hospital,Total Restricted Fund Balance,630481,891915,1772026,1975355,2258256
Blue Hill Memorial Hospital,Total Liabilities,,,,,
Blue Hill Memorial Hospital,Temporarily Restricted Net Assets,150285,201888,375965,426683,484177
Blue Hill Memorial Hospital,Permanently Restricted Net Assets,480196,690027,1396061,1548672,1774079
Blue Hill Memorial Hospital,Total Gross Patient Service Revenue,,45557062,49175637,52746814,54174150
Blue Hill Memorial Hospital,Gross Inpatient Service Revenue,10834831,10050445,10086821,10210234,9911680
Blue Hill Memorial Hospital,Gross Outpatient Service Revenue,34722231,39125192,42659993,43963916,42108556
Blue Hill Memorial Hospital,Free Care,,,1160433,1415316,1531404
Blue Hill Memorial Hospital,Bad Debt,,,,,1726717
Blue Hill Memorial Hospital,Contractuals,13282056,14174763,15358447,16855924,16007523
Blue Hill Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-2537571,207000,-233000,-2344095,-1438421
Blue Hill Memorial Hospital,Net Patient Service Revenue,31925427,32071031,34703614,35971443,34914655
Blue Hill Memorial Hospital,Other Operating Revenue,1273158,955543,1440755,1506733,2182259
Blue Hill Memorial Hospital,Total Operating Revenue,33198585,33026574,36144369,37478176,37096914
Blue Hill Memorial Hospital,Total Operating Expenses,30317244,32252308,35389368,35849980,35140431
Blue Hill Memorial Hospital,Depreciation and Amortization,1381568,1362319,1410103,1308769,1219843
Blue Hill Memorial Hospital,Interest,179012,109014,97729,91781,88569
Blue Hill Memorial Hospital,Advertising Expenses,27626,43620,56910,80046,68701
Blue Hill Memorial Hospital,Allowed Advertising Expenses,27626,21173,,,
Blue Hill Memorial Hospital,Non-Allowed Advertising Expenses,,22447,56910,80046,68701
Blue Hill Memorial Hospital,Salaries and Benefits,17369717,18487326,20676474,21264533,20749946
Blue Hill Memorial Hospital,Other Operating Expenses,11359321,12250029,13148152,13104851,13013372
Blue Hill Memorial Hospital,Net Operating Income,2881341,774266,755001,1628196,1956483
Blue Hill Memorial Hospital,Total Non-operating Revenue,12811,262077,190912,297546,326080
Blue Hill Memorial Hospital,Total Investment Income,12811,262077,190912,297546,326080
Blue Hill Memorial Hospital,Interest and Dividends,12811,262077,190912,297546,340629
Blue Hill Memorial Hospital,Realized Gains/Losses on Sales of Securities,,,,,-14549
Blue Hill Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Blue Hill Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Blue Hill Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Blue Hill Memorial Hospital,Other Non-Operating Revenues,,,,,
Blue Hill Memorial Hospital,Excess of Revenue over Expenses,2894152,1036343,945913,1925742,2282563
Blue Hill Memorial Hospital,Extraordinary Gains/Losses,,,,,
Blue Hill Memorial Hospital,Total Surplus/Deficit,2894152,1036343,945913,1925742,2282563
Blue Hill Memorial Hospital,Total Change in Unrestricted Net Assets,2840321,432387,1638247,2490156,1232824
Blue Hill Memorial Hospital,Net Assets Released for Restrictions,,,73344,,3873
Blue Hill Memorial Hospital,Unrealized Gains/Losses on Investments,,-576572,908584,971199,220524
Blue Hill Memorial Hospital,Minimum Pension Liability Adjustment,,,,,-257998
Blue Hill Memorial Hospital,Transfers From/To Affiliates,-127175,-27384,-56975,-270675,-1022456
Blue Hill Memorial Hospital,Mergers,,,,,
Blue Hill Memorial Hospital,Consolidations with Support,,,,,
Blue Hill Memorial Hospital,Other Changes,,,-163148,-161067,191
Bridgton Hospital,Total Current Assets,14980617,22479123,24656708,33116949,31234400
Bridgton Hospital,Cash and Investment,6669646,15761269,16674483,24919923,18967605
Bridgton Hospital,Current Assets Whose Use is Limited,419847,423910,429033,433756,438187
Bridgton Hospital,Net Patient Accounts Receivable,4216156,5727278,5782687,4927606,8967314
Bridgton Hospital,Due from Affiliates,20357,23254,19765,,7684
Bridgton Hospital,Third Party Settlements Receivable,3209880,139930,414172,1221233,430438
Bridgton Hospital,Other Accounts Receivable,,,,,
Bridgton Hospital,Inventory,313300,296908,307630,321008,345456
Bridgton Hospital,Other Current Assets,131431,106574,1028938,1293423,2077716
Bridgton Hospital,Total Non-Current Assets,20083020,20177241,20556009,20481412,20564755
Bridgton Hospital,Trustee Held Investments,774058,793659,813259,832860,852461
Bridgton Hospital,Board Designated and Undesignated Investments,2923832,3640877,3682860,4052922,4645729
Bridgton Hospital,Due From Affiliates,,,,,
Bridgton Hospital,Investments in Affiliates,,,,,
Bridgton Hospital,Other Non-current Assets,-22711,-34032,-53565,2832,-24525
Bridgton Hospital,"Gross Property, Plant and Equipment",,32360518,32899784,34263623,35004513
Bridgton Hospital,Accumulated Depreciation,15952677,17123047,18150168,19411715,20650970
Bridgton Hospital,"Net Property, Plant and Equipment",,16407841,15776737,16113455,15592798
Bridgton Hospital,Total Unrestricted Assets,35063637,42656364,45212717,53598361,51799155
Bridgton Hospital,Total Current Liabilities,3220067,3233917,3274918,7589011,5014659
Bridgton Hospital,Current Long Term Debt,,538172,445752,634829,586739
Bridgton Hospital,Accounts Payable and Accrued Expenses,2681895,2788165,2640089,3007846,3236640
Bridgton Hospital,Estimated Third Party Settlements,,,,,1247240
Bridgton Hospital,Due to Affiliates,,,,3994426,
Bridgton Hospital,Other Current Liabilities,,,,,
Bridgton Hospital,Total Non-current Liabilities,9454394,9149042,9981587,12244606,8915645
Bridgton Hospital,Long Term Debt,8990281,8653365,9452452,8813474,8313451
Bridgton Hospital,Estimated Third Party Settlements,,,,2866531,
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Self Insurance Fund,,,,,
Bridgton Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Bridgton Hospital,Other Non-Current Liabilities,464113,495677,529135,564601,602194
Bridgton Hospital,Fund Balance Unrestricted,22389176,30273405,31956212,33764744,37868851
Bridgton Hospital,Total Liabilities & Equity,35063637,42656364,45212717,53598361,51799155
Bridgton Hospital,Total Restricted Assets,3341734,3564980,3562686,3644303,3904263
Bridgton Hospital,Cash and Investments,2857587,3398341,3388228,3483961,3743420
Bridgton Hospital,Receivables,92294,65968,61296,110623,90811
Bridgton Hospital,Other Assets,391853,100671,113162,49719,70032
Bridgton Hospital,Total Restricted Liabilities and Equity,3341734,3564980,3562686,3644303,3904263
Bridgton Hospital,Total Restricted Fund Balance,3341734,3564980,3562686,3644303,3904263
Bridgton Hospital,Total Liabilities,,,,,
Bridgton Hospital,Temporarily Restricted Net Assets,2280994,2443485,2449681,2504659,2702704
Bridgton Hospital,Permanently Restricted Net Assets,1060740,1121495,1113005,1139644,1201559
Bridgton Hospital,Total Gross Patient Service Revenue,,66474360,75036173,80320796,82042333
Bridgton Hospital,Gross Inpatient Service Revenue,12707976,13653165,12996996,14152323,16728394
Bridgton Hospital,Gross Outpatient Service Revenue,53766384,61383008,67323800,67890010,71744880
Bridgton Hospital,Free Care,,,1472781,1116462,3519523
Bridgton Hospital,Bad Debt,,,,,2598159
Bridgton Hospital,Contractuals,23172172,25899583,30467502,34557958,33946044
Bridgton Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
Bridgton Hospital,Net Patient Service Revenue,39231248,44956100,41135308,42790588,47076662
Bridgton Hospital,Other Operating Revenue,468847,371040,931874,838421,971445
Bridgton Hospital,Total Operating Revenue,39700095,45327140,42067182,43629009,48048107
Bridgton Hospital,Total Operating Expenses,36757860,38157081,40436717,42238644,44554951
Bridgton Hospital,Depreciation and Amortization,1223675,1304201,1408950,1414943,1659409
Bridgton Hospital,Interest,528944,494011,491982,472572,471548
Bridgton Hospital,Advertising Expenses,204011,200102,202269,243292,164794
Bridgton Hospital,Allowed Advertising Expenses,,,,,
Bridgton Hospital,Non-Allowed Advertising Expenses,204011,200102,202269,243292,164794
Bridgton Hospital,Salaries and Benefits,23861467,24064166,24854119,26871499,28565646
Bridgton Hospital,Other Operating Expenses,10939763,12094601,13479397,13236338,13693554
Bridgton Hospital,Net Operating Income,2942235,7170059,1630465,1390365,3493156
Bridgton Hospital,Total Non-operating Revenue,296950,315181,229192,348463,205285
Bridgton Hospital,Total Investment Income,185761,205248,129275,300432,297717
Bridgton Hospital,Interest and Dividends,72717,79317,83859,78765,124253
Bridgton Hospital,Realized Gains/Losses on Sales of Securities,113044,125931,45416,221667,173464
Bridgton Hospital,Permanently Impaired Security Writedowns,,,,,
Bridgton Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Bridgton Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Bridgton Hospital,Other Non-Operating Revenues,,,,111189,109933
Bridgton Hospital,Excess of Revenue over Expenses,3239185,7485240,1859657,1738828,3698441
Bridgton Hospital,Extraordinary Gains/Losses,,,,,
Bridgton Hospital,Total Surplus/Deficit,3239185,7485240,1859657,1738828,3698441
Bridgton Hospital,Total Change in Unrestricted Net Assets,3433803,7884229,1682807,1808532,4104107
Bridgton Hospital,Net Assets Released for Restrictions,,,69537,,2000
Bridgton Hospital,Unrealized Gains/Losses on Investments,125081,398989,-178850,2049,316565
Bridgton Hospital,Minimum Pension Liability Adjustment,,,,,
Bridgton Hospital,Transfers From/To Affiliates,,,,,
Bridgton Hospital,Mergers,,,,,
Bridgton Hospital,Consolidations with Support,,,,,
Bridgton Hospital,Other Changes,,,,33655,
Calais Regional Hospital,Total Current Assets,6292663,5637031,5033721,4886662,6763772
Calais Regional Hospital,Cash and Investment,330536,521702,85951,27115,350137
Calais Regional Hospital,Current Assets Whose Use is Limited,,,,,
Calais Regional Hospital,Net Patient Accounts Receivable,4131471,4326394,3687471,3723727,4430170
Calais Regional Hospital,Due from Affiliates,,,,,
Calais Regional Hospital,Third Party Settlements Receivable,1174844,,,,
Calais Regional Hospital,Other Accounts Receivable,,,434593,427514,699955
Calais Regional Hospital,Inventory,,,,,
Calais Regional Hospital,Other Current Assets,655812,788935,825706,708306,1283510
Calais Regional Hospital,Total Non-Current Assets,21339028,23105614,22953911,20961904,19146244
Calais Regional Hospital,Trustee Held Investments,360928,443399,525226,607175,689287
Calais Regional Hospital,Board Designated and Undesignated Investments,2056043,2629418,2616426,2929864,1730774
Calais Regional Hospital,Due From Affiliates,,,,,
Calais Regional Hospital,Investments in Affiliates,,,,,
Calais Regional Hospital,Other Non-current Assets,454395,1485379,1686826,,
Calais Regional Hospital,"Gross Property, Plant and Equipment",,33060167,34479435,34644912,29965863
Calais Regional Hospital,Accumulated Depreciation,14592505,15932017,16519479,12540998,13679797
