Hospital,Measure,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
"Aroostook Medical Center, The (TAMC)",Other Non-Current Assets,6995531,4960214,1052369,1044833,1088173
"Aroostook Medical Center, The (TAMC)","Gross Property, Plant and Equipment",,95196967,99807201,92546262,93986463
"Aroostook Medical Center, The (TAMC)",Accumulated Depreciation,58531678,62034214,57755496,61078070,63864832
"Aroostook Medical Center, The (TAMC)","Net Property, Plant and Equipment",,36665289,37772987,34790766,32908393
"Aroostook Medical Center, The (TAMC)",Total Unrestricted Assets,79791747,69653133,56998259,61298167,63993109
"Aroostook Medical Center, The (TAMC)",Total Current Liabilities,35983027,28379335,15383571,15804443,19172454
"Aroostook Medical Center, The (TAMC)",Current Long Term Debt,,1385000,51767,55316,62711
"Aroostook Medical Center, The (TAMC)",Accounts Payable and Accrued Expenses,15330964,12071067,11678764,11772784,10550200
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,1985256,1216949,1295361,1096912,444440
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,9919807,15039552,2354130,2872036,8080789
"Aroostook Medical Center, The (TAMC)",Other Current Liabilities,7362000,,,,
"Aroostook Medical Center, The (TAMC)",Total Non-Current Liabilities,16070042,27221824,26456540,26802662,26391429
"Aroostook Medical Center, The (TAMC)",Long Term Debt,5117077,20483650,20382063,20273253,20130091
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,1186190,1117314,26520,,
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,,,,,
"Aroostook Medical Center, The (TAMC)",Self Insurance Fund,4141396,,,,
"Aroostook Medical Center, The (TAMC)",Accrued Pension and Post Retiree Health Benefits,5369807,5366168,5791355,6270497,5993364
"Aroostook Medical Center, The (TAMC)",Other Non-Current Liabilities,255572,254692,256602,258912,267974
"Aroostook Medical Center, The (TAMC)",Fund Balance Unrestricted,27738678,14051974,15158148,18691062,18429226
"Aroostook Medical Center, The (TAMC)",Total Liabilities & Equity,79791747,69653133,56998259,61298167,63993109
"Aroostook Medical Center, The (TAMC)",Total Restricted Assets,7055340,7024147,7236746,6680972,6037020
"Aroostook Medical Center, The (TAMC)",Cash and Investments,7055340,7024147,7236746,6680972,6037020
"Aroostook Medical Center, The (TAMC)",Receivables,,,,,
"Aroostook Medical Center, The (TAMC)",Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Total Restricted Liabilities and Equity,7055340,7024147,7236746,6680972,6037020
"Aroostook Medical Center, The (TAMC)",Total Restricted Fund Balance,7055340,7024147,7236746,6680972,6037020
"Aroostook Medical Center, The (TAMC)",Total Liabilities,,,,,
"Aroostook Medical Center, The (TAMC)",Temporarily Restricted Net Assets,4331167,4299974,4512573,3956599,3312447
"Aroostook Medical Center, The (TAMC)",Permanently Restricted Net Assets,2724173,2724173,2724173,2724373,2724573
"Aroostook Medical Center, The (TAMC)",Total Gross Patient Service Revenue,,246341520,274295361,303285308,318136458
"Aroostook Medical Center, The (TAMC)",Gross Inpatient Service Revenue,72414754,78640920,81293257,81623574,84185943
"Aroostook Medical Center, The (TAMC)",Gross Outpatient Service Revenue,173926766,195654441,221992051,236512884,261841712
"Aroostook Medical Center, The (TAMC)",Free Care,,,4517667,3036601,5020903
"Aroostook Medical Center, The (TAMC)",Bad Debt,,,,,7025504
"Aroostook Medical Center, The (TAMC)",Contractuals,125661478,152910005,166116819,175546326,207877606
"Aroostook Medical Center, The (TAMC)",Changes in Prior Year Estimated/Final Settlements,-2258011,-218003,232474,283334,
"Aroostook Medical Center, The (TAMC)",Net Patient Service Revenue,111394882,110709573,125610228,129685650,129079590
"Aroostook Medical Center, The (TAMC)",Other Operating Revenue,4821927,3221404,7465904,11076452,10941955
"Aroostook Medical Center, The (TAMC)",Total Operating Revenue,116216809,113930977,133076132,140762102,140021545
"Aroostook Medical Center, The (TAMC)",Total Operating Expenses,116049317,125821317,131825980,137155467,140548425
"Aroostook Medical Center, The (TAMC)",Depreciation and Amortization,4084478,5753662,3903877,3832868,3613113
"Aroostook Medical Center, The (TAMC)",Interest,264848,431389,825111,838128,837964
"Aroostook Medical Center, The (TAMC)",Advertising Expenses,,,,,
"Aroostook Medical Center, The (TAMC)",Allowed Advertising Expenses,,,,,
"Aroostook Medical Center, The (TAMC)",Non-Allowed Advertising Expenses,,,,,
"Aroostook Medical Center, The (TAMC)",Salaries and Benefits,71641003,74562559,77133986,81640627,82267399
"Aroostook Medical Center, The (TAMC)",Other Operating Expenses,40058988,45073707,49963006,50843844,53829949
"Aroostook Medical Center, The (TAMC)",Net Operating Income,167492,-11890340,1250152,3606635,-526880
"Aroostook Medical Center, The (TAMC)",Total Non-Operating Revenue,120922,-196846,-49871,66056,-47654
"Aroostook Medical Center, The (TAMC)",Total Investment Income,1191,31271,51365,66056,-47654
"Aroostook Medical Center, The (TAMC)",Interest and Dividends,1191,31271,51365,66056,-47654
"Aroostook Medical Center, The (TAMC)",Realized Gains/Losses on Sales of Securities,,,,,
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Security Writedowns,,,,,
"Aroostook Medical Center, The (TAMC)",Gains/Losses on Joint Ventures/Equity Investments,119731,-228117,-101236,,
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Writedowns of Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-Operating Revenues,,,,,
"Aroostook Medical Center, The (TAMC)",Excess of Revenue over Expenses,288414,-12087186,1200281,3672691,-574534
"Aroostook Medical Center, The (TAMC)",Extraordinary Gains/Losses,,,,,
"Aroostook Medical Center, The (TAMC)",Total Surplus/Deficit,288414,-12087186,1200281,3672691,-574534
"Aroostook Medical Center, The (TAMC)",Total Change in Unrestricted Net Assets,-731801,-13686703,1106173,3532915,-261834
"Aroostook Medical Center, The (TAMC)",Net Assets Released for Restrictions,,,751685,724049,736214
"Aroostook Medical Center, The (TAMC)",Unrealized Gains/Losses on Investments,,,,,
"Aroostook Medical Center, The (TAMC)",Minimum Pension Liability Adjustment,,,,,
"Aroostook Medical Center, The (TAMC)",Transfers From/To Affiliates,-1771900,-2323566,-830322,-944577,-518387
"Aroostook Medical Center, The (TAMC)",Mergers,,,,,
"Aroostook Medical Center, The (TAMC)",Consolidations with Support,,,,,
"Aroostook Medical Center, The (TAMC)",Other Changes,,,,15,
Blue Hill Memorial Hospital,Total Current Assets,11487536,9560762,5847457,11134185,14129851
Blue Hill Memorial Hospital,Cash and Investment,5336940,2634934,-244361,3774271,6882493
Blue Hill Memorial Hospital,Current Assets Whose Use is Limited,48657,22727,30953,30333,28979
Blue Hill Memorial Hospital,Net Patient Accounts Receivable,4807100,5534830,4209699,4395812,4428438
Blue Hill Memorial Hospital,Due from Affiliates,173144,96979,24930,36247,158206
Blue Hill Memorial Hospital,Third Party Settlements Receivable,9000,,948289,1718424,1960230
Blue Hill Memorial Hospital,Other Accounts Receivable,783632,764909,332542,613706,291807
Blue Hill Memorial Hospital,Inventory,128974,227613,178600,130255,211823
Blue Hill Memorial Hospital,Other Current Assets,200089,278770,366805,435137,167875
Blue Hill Memorial Hospital,Total Non-Current Assets,27369406,27564256,8523967,8282210,7498484
Blue Hill Memorial Hospital,Trustee Held Investments,74982,96285,,,
Blue Hill Memorial Hospital,Board Designated and Undesignated Investments,18263411,19620640,157430,160750,209439
Blue Hill Memorial Hospital,Due from Affiliates,,,,,
Blue Hill Memorial Hospital,Investment in Affiliates,,,,,
Blue Hill Memorial Hospital,Other Non-Current Assets,1024993,365525,391330,366648,25675
Blue Hill Memorial Hospital,"Gross Property, Plant and Equipment",,29247466,29858355,30075457,30609051
Blue Hill Memorial Hospital,Accumulated Depreciation,21241446,22376549,22100250,22854239,23323123
Blue Hill Memorial Hospital,"Net Property, Plant and Equipment",,8006020,7481806,7975207,7754812
Blue Hill Memorial Hospital,Total Unrestricted Assets,38856942,37125018,14371424,19416395,21628335
Blue Hill Memorial Hospital,Total Current Liabilities,9698288,7502692,5422915,5846863,6477220
Blue Hill Memorial Hospital,Current Long Term Debt,,115214,226,239,27080
Blue Hill Memorial Hospital,Accounts Payable and Accrued Expenses,3828580,3835377,3303970,3089240,3146103
Blue Hill Memorial Hospital,Estimated Third Party Settlements,5471461,3125792,1239933,1385676,1518714
Blue Hill Memorial Hospital,Due to Affiliates,283033,541297,878773,1344867,1784040
Blue Hill Memorial Hospital,Other Current Liabilities,,,,,
Blue Hill Memorial Hospital,Total Non-Current Liabilities,4562043,4595254,4558130,4647409,5297292
Blue Hill Memorial Hospital,Long Term Debt,1675191,1946427,1939532,2025277,1990288
Blue Hill Memorial Hospital,Estimated Third Party Settlements,760930,769720,209123,7073,
Blue Hill Memorial Hospital,Due to Affiliates,,,,,
Blue Hill Memorial Hospital,Self Insurance Fund,791111,,,,
Blue Hill Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,1334811,1879107,2409475,2615059,3307004
Blue Hill Memorial Hospital,Other Non-Current Liabilities,,,,,
Blue Hill Memorial Hospital,Fund Balance Unrestricted,24596611,25027072,4390379,8922123,9853823
Blue Hill Memorial Hospital,Total Liabilities & Equity,38856942,37125018,14371424,19416395,21628335
Blue Hill Memorial Hospital,Total Restricted Assets,2208430,2261925,2595653,2621113,2660590
Blue Hill Memorial Hospital,Cash and Investments,2208430,2261925,2595653,2621113,2660590
Blue Hill Memorial Hospital,Receivables,,,,,
Blue Hill Memorial Hospital,Other Assets,,,,,
Blue Hill Memorial Hospital,Total Restricted Liabilities and Equity,2208430,2261925,2595653,2621113,2660590
Blue Hill Memorial Hospital,Total Restricted Fund Balance,2208430,2261925,2595653,2621113,2660590
Blue Hill Memorial Hospital,Total Liabilities,,,,,
Blue Hill Memorial Hospital,Temporarily Restricted Net Assets,474150,488957,688759,704395,755959
Blue Hill Memorial Hospital,Permanently Restricted Net Assets,1734280,1772968,1906894,1916718,1904631
Blue Hill Memorial Hospital,Total Gross Patient Service Revenue,,57050584,58794908,63412452,60951752
Blue Hill Memorial Hospital,Gross Inpatient Service Revenue,11472940,9422807,9990028,9384995,7699376
Blue Hill Memorial Hospital,Gross Outpatient Service Revenue,45577644,49372101,53422424,51566757,51494510
Blue Hill Memorial Hospital,Free Care,,,1401828,939061,873002
Blue Hill Memorial Hospital,Bad Debt,,,,,1606311
Blue Hill Memorial Hospital,Contractuals,20039388,19012144,22202911,14002772,20223888
Blue Hill Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-2735142,-293335,660548,2634758,-169538
Blue Hill Memorial Hospital,Net Patient Service Revenue,36738199,36990497,38071838,40885188,36740962
Blue Hill Memorial Hospital,Other Operating Revenue,2849245,2403915,2526648,3236681,2841399
Blue Hill Memorial Hospital,Total Operating Revenue,39587444,39394412,40598486,44121869,39582361
Blue Hill Memorial Hospital,Total Operating Expenses,37029533,38324114,39649265,39331903,37801306
Blue Hill Memorial Hospital,Depreciation and Amortization,1282086,1263418,804992,782430,754916
Blue Hill Memorial Hospital,Interest,84428,55723,73322,80709,81153
Blue Hill Memorial Hospital,Advertising Expenses,54985,77149,66366,22864,47124
Blue Hill Memorial Hospital,Allowed Advertising Expenses,,,,,
Blue Hill Memorial Hospital,Non-Allowed Advertising Expenses,54985,77149,66366,22864,47124
Blue Hill Memorial Hospital,Salaries and Benefits,20821730,22000809,22434017,21256096,20442444
Blue Hill Memorial Hospital,Other Operating Expenses,14786304,14927015,16270568,17189804,16475669
Blue Hill Memorial Hospital,Net Operating Income,2557911,1070298,949221,4789966,1781055
Blue Hill Memorial Hospital,Total Non-Operating Revenue,540479,-119427,1395560,20829,9700
Blue Hill Memorial Hospital,Total Investment Income,540479,-119427,1395560,20829,9700
Blue Hill Memorial Hospital,Interest and Dividends,516976,275116,136799,20829,9700
Blue Hill Memorial Hospital,Realized Gains/Losses on Sales of Securities,23503,-394543,1258761,,
Blue Hill Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Blue Hill Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Blue Hill Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Blue Hill Memorial Hospital,Other Non-Operating Revenues,,,,,
Blue Hill Memorial Hospital,Excess of Revenue over Expenses,3098390,950871,2344781,4810795,1790755
Blue Hill Memorial Hospital,Extraordinary Gains/Losses,,,,,
Blue Hill Memorial Hospital,Total Surplus/Deficit,3098390,950871,2344781,4810795,1790755
Blue Hill Memorial Hospital,Total Change in Unrestricted Net Assets,858147,430461,-20636693,4531745,931700
Blue Hill Memorial Hospital,Net Assets Released for Restrictions,,,4110,76177,154649
Blue Hill Memorial Hospital,Unrealized Gains/Losses on Investments,-695043,695551,-1284390,108,98
Blue Hill Memorial Hospital,Minimum Pension Liability Adjustment,-371984,-336005,-37130,-56439,-697975
Blue Hill Memorial Hospital,Transfers From/To Affiliates,-1177326,-956133,-21814603,-285539,-161178
Blue Hill Memorial Hospital,Mergers,,,,,
Blue Hill Memorial Hospital,Consolidations with Support,,,,,
Blue Hill Memorial Hospital,Other Changes,,,,,
Bridgton Hospital,Total Current Assets,31946969,29006295,27937200,28931956,29934301
Bridgton Hospital,Cash and Investment,22881555,20839133,21519014,22432690,22159679
Bridgton Hospital,Current Assets Whose Use is Limited,447188,450231,13700,402616,463782
Bridgton Hospital,Net Patient Accounts Receivable,6976049,6127207,5464160,4859802,5068154
Bridgton Hospital,Due from Affiliates,,,,,
Bridgton Hospital,Third Party Settlements Receivable,784850,613990,233281,230171,1572600
Bridgton Hospital,Other Accounts Receivable,,,,,
Bridgton Hospital,Inventory,319334,353303,463872,481749,451307
Bridgton Hospital,Other Current Assets,537993,622431,243173,524928,218779
Bridgton Hospital,Total Non-Current Assets,21225101,23281902,23316294,23917170,23906206
Bridgton Hospital,Trustee Held Investments,872062,883496,786166,786166,786166
Bridgton Hospital,Board Designated and Undesignated Investments,4675518,4632553,5087911,5585926,6015068
Bridgton Hospital,Due from Affiliates,,,,,
Bridgton Hospital,Investment in Affiliates,,,,,
Bridgton Hospital,Other Non-Current Assets,603608,515852,1341982,1599092,1303834
Bridgton Hospital,"Gross Property, Plant and Equipment",,36968425,40227802,40281164,42008492
Bridgton Hospital,Accumulated Depreciation,21894512,22977801,24180929,26062506,27538003
Bridgton Hospital,"Net Property, Plant and Equipment",,15073913,17250001,16100235,15945986
Bridgton Hospital,Total Unrestricted Assets,53172070,52288197,51253494,52849126,53840507
Bridgton Hospital,Total Current Liabilities,4794869,3886304,2775172,5432630,6805048
Bridgton Hospital,Current Long Term Debt,,524290,600031,225972,313956
Bridgton Hospital,Accounts Payable and Accrued Expenses,3092876,2717091,2361540,2946004,4719316
Bridgton Hospital,Estimated Third Party Settlements,1177703,569182,187660,2172670,1626742
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Other Current Liabilities,,,,,
Bridgton Hospital,Total Non-Current Liabilities,8435695,8312606,7499629,7290825,6953704
Bridgton Hospital,Long Term Debt,7793652,7648773,6928797,6693683,6318171
Bridgton Hospital,Estimated Third Party Settlements,,,,,
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Self Insurance Fund,,,,,
Bridgton Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Bridgton Hospital,Other Non-Current Liabilities,642043,663833,570832,597142,635533
Bridgton Hospital,Fund Balance Unrestricted,39941506,40089287,40978693,40125671,40081755
Bridgton Hospital,Total Liabilities & Equity,53172070,52288197,51253494,52849126,53840507
Bridgton Hospital,Total Restricted Assets,4263881,4296343,4421122,4605710,3864503
Bridgton Hospital,Cash and Investments,3903931,4036368,4305084,4505132,3864503
Bridgton Hospital,Receivables,,,,,
Bridgton Hospital,Other Assets,359950,259975,116038,100578,
Bridgton Hospital,Total Restricted Liabilities and Equity,4263881,4296343,4421122,4605710,3864503
Bridgton Hospital,Total Restricted Fund Balance,4263881,4296343,4421122,4605710,3864503
Bridgton Hospital,Total Liabilities,,,,,
Bridgton Hospital,Temporarily Restricted Net Assets,3067445,3143120,3223052,3366434,2191633
Bridgton Hospital,Permanently Restricted Net Assets,1196436,1153223,1198070,1239276,1672870
Bridgton Hospital,Total Gross Patient Service Revenue,,89679294,93025765,96867857,89831110
Bridgton Hospital,Gross Inpatient Service Revenue,16333759,15276846,16018690,15916835,15614928
Bridgton Hospital,Gross Outpatient Service Revenue,73345535,77748919,80849167,73914275,71598060
Bridgton Hospital,Free Care,,,1216737,1402980,1456852
Bridgton Hospital,Bad Debt,,,,,3252548
Bridgton Hospital,Contractuals,39138752,40862299,44143619,40749324,36583867
Bridgton Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
Bridgton Hospital,Net Patient Service Revenue,46071257,45965555,46306811,42803023,44521074
Bridgton Hospital,Other Operating Revenue,2240762,2971369,2244724,2312252,2429784
Bridgton Hospital,Total Operating Revenue,48312019,48936924,48551535,45115275,46950858
Bridgton Hospital,Total Operating Expenses,46355383,49070650,48001623,46522162,48853075
Bridgton Hospital,Depreciation and Amortization,1546380,1492371,1688228,2128297,2275121
Bridgton Hospital,Interest,463409,436979,368344,289144,306056
Bridgton Hospital,Advertising Expenses,170598,177018,126778,28290,1286
Bridgton Hospital,Allowed Advertising Expenses,,,,,
Bridgton Hospital,Non-Allowed Advertising Expenses,170598,177018,126778,28290,1286
Bridgton Hospital,Salaries and Benefits,29991925,31782135,31396777,29135908,27699234
Bridgton Hospital,Other Operating Expenses,14183071,15182147,14421496,14940523,18571378
Bridgton Hospital,Net Operating Income,1956636,-133726,549912,-1406887,-1902217
Bridgton Hospital,Total Non-Operating Revenue,135128,-130550,144808,511640,330049
Bridgton Hospital,Total Investment Income,122478,70379,179295,452048,312894
Bridgton Hospital,Interest and Dividends,144670,147823,137451,180138,217114
Bridgton Hospital,Realized Gains/Losses on Sales of Securities,-22192,-77444,41844,271910,95780
Bridgton Hospital,Permanently Impaired Security Writedowns,,,,,
Bridgton Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Bridgton Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Bridgton Hospital,Other Non-Operating Revenues,,,,12650,-200929
Bridgton Hospital,Excess of Revenue over Expenses,2091764,-264276,694720,-895247,-1572168
Bridgton Hospital,Extraordinary Gains/Losses,,,-60744,,-35158
Bridgton Hospital,Total Surplus/Deficit,2091764,-264276,633976,-895247,-1607326
Bridgton Hospital,Total Change in Unrestricted Net Assets,2072655,147781,889339,-853022,-43916
Bridgton Hospital,Net Assets Released for Restrictions,,,74100,307355,12666
Bridgton Hospital,Unrealized Gains/Losses on Investments,-93209,104702,242697,21248,141600
Bridgton Hospital,Minimum Pension Liability Adjustment,,,,,
Bridgton Hospital,Transfers From/To Affiliates,,,,,
Bridgton Hospital,Mergers,,,,,
Bridgton Hospital,Consolidations with Support,,,,,
Bridgton Hospital,Other Changes,,,,,
Calais Regional Hospital,Total Current Assets,7418318,7057744,5717780,5276613,5432569
Calais Regional Hospital,Cash and Investment,825887,505439,1018314,353802,1243551
Calais Regional Hospital,Current Assets Whose Use is Limited,,,,,163901
Calais Regional Hospital,Net Patient Accounts Receivable,4789506,5467597,3634826,3080783,2188704
Calais Regional Hospital,Due from Affiliates,,,,,
Calais Regional Hospital,Third Party Settlements Receivable,,,,611818,329884
Calais Regional Hospital,Other Accounts Receivable,278336,,,,
Calais Regional Hospital,Inventory,,,,,
Calais Regional Hospital,Other Current Assets,1524589,1084708,1064640,1230210,1506529
Calais Regional Hospital,Total Non-Current Assets,16655908,15654673,14500062,13818868,12938838
Calais Regional Hospital,Trustee Held Investments,771378,852830,793841,794397,653557
Calais Regional Hospital,Board Designated and Undesignated Investments,606943,258546,259507,270989,289191
Calais Regional Hospital,Due from Affiliates,,,,,
Calais Regional Hospital,Investment in Affiliates,,,,,
Calais Regional Hospital,Other Non-Current Assets,,439301,531508,528182,641456
Calais Regional Hospital,"Gross Property, Plant and Equipment",,30543407,30573465,30662395,30921713
Calais Regional Hospital,Accumulated Depreciation,15265820,16469469,17747189,18696413,19670434
Calais Regional Hospital,"Net Property, Plant and Equipment",,15277587,14103996,12915206,12225300
