Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Acadia Hospital Corporation,Due to Affiliate,,,,,
Acadia Hospital Corporation,Self Insurance Fund,,,,,
Acadia Hospital Corporation,Accrued Pension and Post Retiree Health Benefits,3127714,3693276,4368223,7016434,8725884
Acadia Hospital Corporation,Other Non-Current Liabilities,,,,,
Acadia Hospital Corporation,Fund Balance Unrestricted,916138,1643226,7309716,6177018,3915471
Acadia Hospital Corporation,Total Liabilities & Equity,32950771,35860044,39816223,42883253,42494887
Acadia Hospital Corporation,Total Restricted Assets,180238,281821,612255,737925,601032
Acadia Hospital Corporation,Cash and Investments,,281821,612255,737925,601032
Acadia Hospital Corporation,Receivables,,,,,
Acadia Hospital Corporation,Other Assets,180238,,,,
Acadia Hospital Corporation,Total Restricted Liabilities and Equity,180238,281821,612255,737925,601032
Acadia Hospital Corporation,Total Restricted Fund Balance,180238,281821,612255,737925,601032
Acadia Hospital Corporation,Total Liabilities,,,,,
Acadia Hospital Corporation,Temporarily Restricted Net Assets,145033,242702,557409,675463,530890
Acadia Hospital Corporation,Permanently Restricted Net Assets,35205,39119,54846,62462,70142
Acadia Hospital Corporation,Total Gross Patient Service Revenue,,52587750,57618593,60055491,61198680
Acadia Hospital Corporation,Gross Inpatient Service Revenue,35001236,38129721,39143785,36526205,46634321
Acadia Hospital Corporation,Gross Outpatient Service Revenue,17586514,19488872,20911706,24672475,31647747
Acadia Hospital Corporation,Free Care,,,10000533,10604435,9501747
Acadia Hospital Corporation,Bad Debt,,,,,1539236
Acadia Hospital Corporation,Contractuals,5120757,5997009,5249582,9531027,16653740
Acadia Hospital Corporation,Changes in Prior Year Estimated/Final Settlements,,,,,
Acadia Hospital Corporation,Net Patient Service Revenue,35927224,38659971,43244348,40893500,44658302
Acadia Hospital Corporation,Other Operating Revenue,2129531,1959018,2011104,1871169,2077867
Acadia Hospital Corporation,Total Operating Revenue,38056755,40618989,45255452,42764669,46736169
Acadia Hospital Corporation,Total Operating Expenses,37002531,40197721,39518094,41536087,45316176
Acadia Hospital Corporation,Depreciation and Amortization,1208231,1270912,1234854,1045962,1025493
Acadia Hospital Corporation,Interest,877166,858765,807974,771983,732911
Acadia Hospital Corporation,Other Operating Expenses,34917134,38068044,37475266,39718142,43557772
Acadia Hospital Corporation,Net Operating Income,1054224,421268,5737358,1228582,1419993
Acadia Hospital Corporation,Total Non-operating Revenue,245724,419434,355371,208442,458207
Acadia Hospital Corporation,Total Investment Income,245724,419434,355371,208442,458207
Acadia Hospital Corporation,Interest and Dividends,245724,420285,355144,206122,457558
Acadia Hospital Corporation,Realized Gains/Losses on Sales of Securities,,-851,227,2320,649
Acadia Hospital Corporation,Permanently Impaired Security Writedowns,,,,,
Acadia Hospital Corporation,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Acadia Hospital Corporation,Permanently Impaired Writedowns of Other Assets,,,,,
Acadia Hospital Corporation,Other Non-Operating Revenues,,,,,
Acadia Hospital Corporation,Excess of Revenue over Expenses,1299948,840702,6092729,1437024,1878200
Acadia Hospital Corporation,Extraordinary Gains/Losses,,,,,
Acadia Hospital Corporation,Total Surplus/Deficit,1299948,840702,6092729,1437024,1878200
Acadia Hospital Corporation,Total Change in Unrestricted Net Assets,1155465,727088,5666490,-1132698,-2261547
Acadia Hospital Corporation,Net Assets Released for Restrictions,,,,30462,23760
Acadia Hospital Corporation,Unrealized Gains/Losses on Investments,-3483,17924,9635,-25827,481432
Acadia Hospital Corporation,Minimum Pension Liability Adjustment,,,,,
Acadia Hospital Corporation,Transfers From/To Affiliates,-141000,-162000,-265000,-313626,-2771058
Acadia Hospital Corporation,Mergers,,,,,
Acadia Hospital Corporation,Consolidations with Support,,,,,
Acadia Hospital Corporation,Other Changes,,,-194634,-2266860,-2095886
"Aroostook Medical Center, The (TAMC)",Total Current Assets,17127033,15339568,18763403,18514860,22483133
"Aroostook Medical Center, The (TAMC)",Cash and Investment,4156365,925337,2609078,3641368,4119590
"Aroostook Medical Center, The (TAMC)",Current Assets Whose Use is Limited,464607,476172,469845,462254,452569
"Aroostook Medical Center, The (TAMC)",Net Patient Accounts Receivable,8367616,9105303,8170602,8901423,6333997
"Aroostook Medical Center, The (TAMC)",Due from Affiliates,,,76522,92661,53416
"Aroostook Medical Center, The (TAMC)",Third Party Settlements Receivable,1068917,1449535,3946981,1836330,8260908
"Aroostook Medical Center, The (TAMC)",Other Accounts Receivable,679083,910103,847062,853676,654707
"Aroostook Medical Center, The (TAMC)",Inventory,1640360,1718374,1531761,1699666,1637085
"Aroostook Medical Center, The (TAMC)",Other Current Assets,750085,754744,1111552,1027482,970861
"Aroostook Medical Center, The (TAMC)",Total Non-Current Assets,41602263,47413135,51940327,52650640,41312601
"Aroostook Medical Center, The (TAMC)",Trustee Held Investments,,,2531127,2676506,3319902
"Aroostook Medical Center, The (TAMC)",Board Designated and Undesignated Investments,2877847,2737913,2299977,2595403,2685206
"Aroostook Medical Center, The (TAMC)",Due From Affiliates,45908,27528,5390,10377,1428
"Aroostook Medical Center, The (TAMC)",Investments in Affiliates,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-current Assets,9534888,15638051,18231803,18520053,6067708
"Aroostook Medical Center, The (TAMC)","Gross Property, Plant and Equipment",,68480708,68587496,69196086,71351180
"Aroostook Medical Center, The (TAMC)",Accumulated Depreciation,39337088,39577853,40324056,42502879,45115045
"Aroostook Medical Center, The (TAMC)","Net Property, Plant and Equipment",,29143620,29009643,28872030,28848301
"Aroostook Medical Center, The (TAMC)",Total Unrestricted Assets,58729296,62752703,70703730,71165500,63795734
"Aroostook Medical Center, The (TAMC)",Total Current Liabilities,12083766,15535161,22401592,23517427,14870836
"Aroostook Medical Center, The (TAMC)",Current Long Term Debt,,965000,1000000,1035000,1080000
"Aroostook Medical Center, The (TAMC)",Accounts Payable and Accrued Expenses,9514193,11744196,10809335,11179642,8398991
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,1218546,404608,4871314,5125626,5108299
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,386027,2386357,5685943,6132159,209213
"Aroostook Medical Center, The (TAMC)",Other Current Liabilities,,,,,
"Aroostook Medical Center, The (TAMC)",Total Non-current Liabilities,18154300,17253207,17659770,16748586,16313318
"Aroostook Medical Center, The (TAMC)",Long Term Debt,17148551,16151384,15119218,14042052,12978552
"Aroostook Medical Center, The (TAMC)",Estimated Third Party Settlements,,,,,
"Aroostook Medical Center, The (TAMC)",Due to Affiliates,27872,18769,9425,30028,14864
"Aroostook Medical Center, The (TAMC)",Self Insurance Fund,,,,,
"Aroostook Medical Center, The (TAMC)",Accrued Pension and Post Retiree Health Benefits,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-Current Liabilities,977877,1083054,2531127,2676506,3319902
"Aroostook Medical Center, The (TAMC)",Fund Balance Unrestricted,28491230,29964335,30642368,30899487,32611580
"Aroostook Medical Center, The (TAMC)",Total Liabilities & Equity,58729296,62752703,70703730,71165500,63795734
"Aroostook Medical Center, The (TAMC)",Total Restricted Assets,2046384,1914687,2072395,1703911,1522969
"Aroostook Medical Center, The (TAMC)",Cash and Investments,2046384,1914687,2072395,1703911,1522969
"Aroostook Medical Center, The (TAMC)",Receivables,,,,,
"Aroostook Medical Center, The (TAMC)",Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Total Restricted Liabilities and Equity,2046384,1914687,2072395,1703911,1522969
"Aroostook Medical Center, The (TAMC)",Total Restricted Fund Balance,2046384,1914687,2072395,1703911,1522969
"Aroostook Medical Center, The (TAMC)",Total Liabilities,,,,,
"Aroostook Medical Center, The (TAMC)",Temporarily Restricted Net Assets,1369669,1237972,1395680,1027196,846254
"Aroostook Medical Center, The (TAMC)",Permanently Restricted Net Assets,676715,676715,676715,676715,676715
"Aroostook Medical Center, The (TAMC)",Total Gross Patient Service Revenue,,161104332,179428241,184795464,187005213
"Aroostook Medical Center, The (TAMC)",Gross Inpatient Service Revenue,67623077,68917879,70049931,62714229,69343147
"Aroostook Medical Center, The (TAMC)",Gross Outpatient Service Revenue,93481255,110510362,114745533,124290984,130131736
"Aroostook Medical Center, The (TAMC)",Free Care,,,1051681,2205938,1797211
"Aroostook Medical Center, The (TAMC)",Bad Debt,,,,,3448893
"Aroostook Medical Center, The (TAMC)",Contractuals,77237023,87775486,89314682,90725866,99583456
"Aroostook Medical Center, The (TAMC)",Changes in Prior Year Estimated/Final Settlements,-5300000,-1300000,-870000,-235000,-261000
"Aroostook Medical Center, The (TAMC)",Net Patient Service Revenue,84666735,87619010,90834717,91538753,94733466
"Aroostook Medical Center, The (TAMC)",Other Operating Revenue,1999961,2375662,2497622,2090675,2028993
"Aroostook Medical Center, The (TAMC)",Total Operating Revenue,86666696,89994672,93332339,93629428,96762459
"Aroostook Medical Center, The (TAMC)",Total Operating Expenses,79255361,89728148,92965447,94743693,95858769
"Aroostook Medical Center, The (TAMC)",Depreciation and Amortization,3648981,3762585,3724046,3939902,3694544
"Aroostook Medical Center, The (TAMC)",Interest,980907,839116,1038956,949416,765481
"Aroostook Medical Center, The (TAMC)",Other Operating Expenses,74625473,85126447,88202445,89854375,91398744
"Aroostook Medical Center, The (TAMC)",Net Operating Income,7411335,266524,366892,-1114265,903690
"Aroostook Medical Center, The (TAMC)",Total Non-operating Revenue,663223,773744,457414,508182,206586
"Aroostook Medical Center, The (TAMC)",Total Investment Income,89362,221306,204461,180903,36723
"Aroostook Medical Center, The (TAMC)",Interest and Dividends,89362,221306,204461,180903,36723
"Aroostook Medical Center, The (TAMC)",Realized Gains/Losses on Sales of Securities,,,,,
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Security Writedowns,,,,,
"Aroostook Medical Center, The (TAMC)",Gains/Losses on Joint Ventures/Equity Investments,517990,590997,283399,315850,182252
"Aroostook Medical Center, The (TAMC)",Permanently Impaired Writedowns of Other Assets,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-Operating Revenues,,,,55871,-38559
"Aroostook Medical Center, The (TAMC)",Excess of Revenue over Expenses,8074558,1040268,824306,-606083,1110276
"Aroostook Medical Center, The (TAMC)",Extraordinary Gains/Losses,,,,,
"Aroostook Medical Center, The (TAMC)",Total Surplus/Deficit,8074558,1040268,824306,-606083,1110276
"Aroostook Medical Center, The (TAMC)",Total Change in Unrestricted Net Assets,8647255,1473105,678033,257119,1712093
"Aroostook Medical Center, The (TAMC)",Net Assets Released for Restrictions,,,572697,432837,453727
"Aroostook Medical Center, The (TAMC)",Unrealized Gains/Losses on Investments,,,,,
"Aroostook Medical Center, The (TAMC)",Minimum Pension Liability Adjustment,,,,,
"Aroostook Medical Center, The (TAMC)",Transfers From/To Affiliates,,,-600000,498569,516212
"Aroostook Medical Center, The (TAMC)",Mergers,,,,,
"Aroostook Medical Center, The (TAMC)",Consolidations with Support,,,,,
"Aroostook Medical Center, The (TAMC)",Other Changes,,,,,
Blue Hill Memorial Hospital,Total Current Assets,4265724,4769471,5330952,8961906,7266370
Blue Hill Memorial Hospital,Cash and Investment,251843,193543,125555,865566,302594
Blue Hill Memorial Hospital,Current Assets Whose Use is Limited,85687,88722,91684,90831,94207
Blue Hill Memorial Hospital,Net Patient Accounts Receivable,2750291,3845719,3484942,4002179,3799383
Blue Hill Memorial Hospital,Due from Affiliates,,23008,73833,58284,3018
Blue Hill Memorial Hospital,Third Party Settlements Receivable,397530,,991079,3238165,2574346
Blue Hill Memorial Hospital,Other Accounts Receivable,,,,,34709
Blue Hill Memorial Hospital,Inventory,195666,258101,277041,207346,131551
Blue Hill Memorial Hospital,Other Current Assets,584707,360378,286818,499535,326562
Blue Hill Memorial Hospital,Total Non-Current Assets,15450490,22000642,21957399,20183908,19496136
Blue Hill Memorial Hospital,Trustee Held Investments,,,,,
Blue Hill Memorial Hospital,Board Designated and Undesignated Investments,5677829,12649099,12939945,10502788,6697532
Blue Hill Memorial Hospital,Due From Affiliates,,,,,
Blue Hill Memorial Hospital,Investments in Affiliates,,,,,
Blue Hill Memorial Hospital,Other Non-current Assets,333732,111430,72371,68118,3316701
Blue Hill Memorial Hospital,"Gross Property, Plant and Equipment",,22887941,22113740,21633938,23659043
Blue Hill Memorial Hospital,Accumulated Depreciation,13449012,12873627,12688855,14046041,15520519
Blue Hill Memorial Hospital,"Net Property, Plant and Equipment",,9438929,9240113,8945083,9613002
Blue Hill Memorial Hospital,Total Unrestricted Assets,19716214,26770113,27288351,29145814,26762506
Blue Hill Memorial Hospital,Total Current Liabilities,3515419,3746057,5214180,6052355,7901614
Blue Hill Memorial Hospital,Current Long Term Debt,,468818,694714,449456,328078
Blue Hill Memorial Hospital,Accounts Payable and Accrued Expenses,2196601,2247691,2510749,2498879,2979788
Blue Hill Memorial Hospital,Estimated Third Party Settlements,,173652,253975,1457071,2191856
Blue Hill Memorial Hospital,Due to Affiliates,,,,1048278,1551538
Blue Hill Memorial Hospital,Other Current Liabilities,850000,630000,2000000,720049,
Blue Hill Memorial Hospital,Total Non-current Liabilities,3221058,3045659,2599902,5489080,5087717
Blue Hill Memorial Hospital,Long Term Debt,3221058,3045659,2599902,3633435,2458508
Blue Hill Memorial Hospital,Estimated Third Party Settlements,,,,,
Blue Hill Memorial Hospital,Due to Affiliates,,,,1855645,2300000
Blue Hill Memorial Hospital,Self Insurance Fund,,,,,
Blue Hill Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,109203
Blue Hill Memorial Hospital,Other Non-Current Liabilities,,,,,220006
Blue Hill Memorial Hospital,Fund Balance Unrestricted,12979737,19978397,19474270,17604379,13773175
Blue Hill Memorial Hospital,Total Liabilities & Equity,19716214,26770113,27288352,29145814,26762506
Blue Hill Memorial Hospital,Total Restricted Assets,1120012,1027160,1008895,836826,340180
Blue Hill Memorial Hospital,Cash and Investments,1120012,1027160,1008895,836826,340180
Blue Hill Memorial Hospital,Receivables,,,,,
Blue Hill Memorial Hospital,Other Assets,,,,,
Blue Hill Memorial Hospital,Total Restricted Liabilities and Equity,1120012,1027160,1008895,836826,340180
Blue Hill Memorial Hospital,Total Restricted Fund Balance,1120012,1027160,1008895,836826,340180
Blue Hill Memorial Hospital,Total Liabilities,,,,,
Blue Hill Memorial Hospital,Temporarily Restricted Net Assets,857871,775019,756754,584685,88039
Blue Hill Memorial Hospital,Permanently Restricted Net Assets,262141,252141,252141,252141,252141
Blue Hill Memorial Hospital,Total Gross Patient Service Revenue,,32247089,36923796,38402139,44643905
Blue Hill Memorial Hospital,Gross Inpatient Service Revenue,6755055,7905194,8317563,9625101,9818526
Blue Hill Memorial Hospital,Gross Outpatient Service Revenue,25492034,29018602,30084576,35018804,34512183
Blue Hill Memorial Hospital,Free Care,,,225914,359681,1007332
Blue Hill Memorial Hospital,Bad Debt,,,,,1094109
Blue Hill Memorial Hospital,Contractuals,9578580,11788988,11611211,14867635,13336726
Blue Hill Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-350000,-153000,143000,209000,269000
Blue Hill Memorial Hospital,Net Patient Service Revenue,21698486,23383396,24336845,26789172,26995092
Blue Hill Memorial Hospital,Other Operating Revenue,973749,1215923,902525,943817,779368
Blue Hill Memorial Hospital,Total Operating Revenue,22672235,24599319,25239370,27732989,27774460
Blue Hill Memorial Hospital,Total Operating Expenses,23895645,24742808,27107667,29110065,31936003
Blue Hill Memorial Hospital,Depreciation and Amortization,1383163,1345904,1313659,1439102,1478388
Blue Hill Memorial Hospital,Interest,216779,274678,294064,352584,279599
Blue Hill Memorial Hospital,Other Operating Expenses,22295703,23122226,25499944,27318379,30178016
Blue Hill Memorial Hospital,Net Operating Income,-1223410,-143489,-1868297,-1377076,-4161543
Blue Hill Memorial Hospital,Total Non-operating Revenue,314198,769214,395519,334082,-368825
Blue Hill Memorial Hospital,Total Investment Income,314198,769214,395519,334082,-368825
Blue Hill Memorial Hospital,Interest and Dividends,143373,142380,158971,122066,53343
Blue Hill Memorial Hospital,Realized Gains/Losses on Sales of Securities,170825,626834,236548,212016,-422168
Blue Hill Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Blue Hill Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Blue Hill Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Blue Hill Memorial Hospital,Other Non-Operating Revenues,,,,,
Blue Hill Memorial Hospital,Excess of Revenue over Expenses,-909212,625725,-1472778,-1042994,-4530368
Blue Hill Memorial Hospital,Extraordinary Gains/Losses,,,,,
Blue Hill Memorial Hospital,Total Surplus/Deficit,-909212,625725,-1472778,-1042994,-4530368
Blue Hill Memorial Hospital,Total Change in Unrestricted Net Assets,-8237833,6344990,-504127,-1869891,-3831204
Blue Hill Memorial Hospital,Net Assets Released for Restrictions,,,776200,136740,133658
Blue Hill Memorial Hospital,Unrealized Gains/Losses on Investments,-76069,-31518,491083,-410951,-476516
Blue Hill Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Blue Hill Memorial Hospital,Transfers From/To Affiliates,,,-85500,-183221,1542245
Blue Hill Memorial Hospital,Mergers,,,,,
Blue Hill Memorial Hospital,Consolidations with Support,,,,,
Blue Hill Memorial Hospital,Other Changes,-8028752,5614043,429410,-393120,-731049
Bridgton Hospital,Total Current Assets,7525236,7492932,7939811,5951931,11659137
Bridgton Hospital,Cash and Investment,,,84098,436855,3205678
Bridgton Hospital,Current Assets Whose Use is Limited,389181,394397,397422,399813,397082
Bridgton Hospital,Net Patient Accounts Receivable,1913365,2260296,2822248,3571633,4537367
Bridgton Hospital,Due from Affiliates,28864,25624,23648,22271,37822
Bridgton Hospital,Third Party Settlements Receivable,4911494,4495604,4280592,1191693,3089792
Bridgton Hospital,Other Accounts Receivable,,,,,
Bridgton Hospital,Inventory,185880,228463,228524,239346,327710
Bridgton Hospital,Other Current Assets,96452,88548,103279,90320,63686
Bridgton Hospital,Total Non-Current Assets,17243857,18252410,18881874,22879062,19957040
Bridgton Hospital,Trustee Held Investments,45543,695656,715256,734857,754457
Bridgton Hospital,Board Designated and Undesignated Investments,2118832,2617984,2406779,3046589,2508031
Bridgton Hospital,Due From Affiliates,,,,,
Bridgton Hospital,Investments in Affiliates,,,,,
Bridgton Hospital,Other Non-current Assets,108903,-208574,513633,3346136,370796
Bridgton Hospital,"Gross Property, Plant and Equipment",,27107374,28339827,29193107,30538261
Bridgton Hospital,Accumulated Depreciation,12136795,13192483,13946901,14786781,14984526
Bridgton Hospital,"Net Property, Plant and Equipment",,14970579,15147344,15246206,15751480
Bridgton Hospital,Total Unrestricted Assets,24769093,25745342,26821685,28830993,31616177
Bridgton Hospital,Total Current Liabilities,3225541,2604006,2634918,2571696,2816512
Bridgton Hospital,Current Long Term Debt,,424127,852470,356501,369740
Bridgton Hospital,Accounts Payable and Accrued Expenses,1197883,1503921,2278417,2201956,2286439
Bridgton Hospital,Estimated Third Party Settlements,,,,,
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Other Current Liabilities,1603531,247615,,,
Bridgton Hospital,Total Non-current Liabilities,10540723,10742531,9970470,9642248,9844292
Bridgton Hospital,Long Term Debt,10540723,10325835,9528772,9174049,9355600
Bridgton Hospital,Estimated Third Party Settlements,,,,,
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Self Insurance Fund,,,,,
Bridgton Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Bridgton Hospital,Other Non-Current Liabilities,,416696,441698,468199,488692
Bridgton Hospital,Fund Balance Unrestricted,11002829,12398805,14216297,16617049,18955373
Bridgton Hospital,Total Liabilities & Equity,24769093,25745342,26821685,28830993,31616177
Bridgton Hospital,Total Restricted Assets,2573763,2947073,3181467,3151153,3236168
Bridgton Hospital,Cash and Investments,2374009,2783974,3039501,3039175,3137716
Bridgton Hospital,Receivables,199754,163099,141966,111978,98452
Bridgton Hospital,Other Assets,,,,,
Bridgton Hospital,Total Restricted Liabilities and Equity,2573763,2947075,3181467,3151153,3236168
Bridgton Hospital,Total Restricted Fund Balance,2573763,2947075,3181467,3151153,3236168
Bridgton Hospital,Total Liabilities,,,,,
Bridgton Hospital,Temporarily Restricted Net Assets,1631263,1986502,2024947,2012858,2223069
Bridgton Hospital,Permanently Restricted Net Assets,942500,960573,1156520,1138295,1013099
Bridgton Hospital,Total Gross Patient Service Revenue,,45763654,48759293,54746099,59550523
Bridgton Hospital,Gross Inpatient Service Revenue,13010444,12842382,12970021,13445191,14394950
Bridgton Hospital,Gross Outpatient Service Revenue,32753210,35916911,41776078,46105332,47845200
Bridgton Hospital,Free Care,,,688095,721576,1047970
Bridgton Hospital,Bad Debt,,,,,1713112
Bridgton Hospital,Contractuals,19611005,19831031,21555672,22876956,22933322
Bridgton Hospital,Changes in Prior Year Estimated/Final Settlements,-381099,,,-10000,
Bridgton Hospital,Net Patient Service Revenue,24132541,26331561,29842423,33534138,35866713
Bridgton Hospital,Other Operating Revenue,406823,417467,436560,438881,428793
Bridgton Hospital,Total Operating Revenue,24539364,26749028,30278983,33973019,36295506
Bridgton Hospital,Total Operating Expenses,23024022,25207651,28961577,31732258,33668460
Bridgton Hospital,Depreciation and Amortization,1053400,1086390,1038419,954019,1091336
Bridgton Hospital,Interest,613029,611406,555869,540155,549361
Bridgton Hospital,Other Operating Expenses,21357593,23509855,27367289,30238084,32027763
Bridgton Hospital,Net Operating Income,1515342,1541377,1317406,2240761,2627046
Bridgton Hospital,Total Non-operating Revenue,172013,407359,740701,213667,-89551
Bridgton Hospital,Total Investment Income,166013,265284,430533,150389,-148402
Bridgton Hospital,Interest and Dividends,166013,265284,137353,148110,82309
Bridgton Hospital,Realized Gains/Losses on Sales of Securities,,,293180,2279,-230711
Bridgton Hospital,Permanently Impaired Security Writedowns,,,,,
Bridgton Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Bridgton Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Bridgton Hospital,Other Non-Operating Revenues,,,,6000,142075
Bridgton Hospital,Excess of Revenue over Expenses,1687355,1948736,2058107,2454428,2537495
Bridgton Hospital,Extraordinary Gains/Losses,,,,,
Bridgton Hospital,Total Surplus/Deficit,1687355,1948736,2058107,2454428,2537495
Bridgton Hospital,Total Change in Unrestricted Net Assets,1846477,1595729,1817492,2400752,2338324
Bridgton Hospital,Net Assets Released for Restrictions,,,56250,8232,62439
Bridgton Hospital,Unrealized Gains/Losses on Investments,102872,-14428,-303054,-131786,-422134
Bridgton Hospital,Minimum Pension Liability Adjustment,,,,,
Bridgton Hospital,Transfers From/To Affiliates,,,,,
Bridgton Hospital,Mergers,,,,,
Bridgton Hospital,Consolidations with Support,,,,,
Bridgton Hospital,Other Changes,,-346811,,,
Calais Regional Hospital,Total Current Assets,4739149,7746754,7137434,7019954,6891918
Calais Regional Hospital,Cash and Investment,96103,38209,262510,700671,2004383
Calais Regional Hospital,Current Assets Whose Use is Limited,,,,,
Calais Regional Hospital,Net Patient Accounts Receivable,2032260,3605144,2944492,3025929,3696157
Calais Regional Hospital,Due from Affiliates,,,,,
Calais Regional Hospital,Third Party Settlements Receivable,1637216,3381953,3170831,2510622,291015
Calais Regional Hospital,Other Accounts Receivable,,,,,
Calais Regional Hospital,Inventory,,,,,
Calais Regional Hospital,Other Current Assets,973570,721448,759601,782732,900363
Calais Regional Hospital,Total Non-Current Assets,12019236,23454079,22504954,22354206,21414215
Calais Regional Hospital,Trustee Held Investments,196386,286533,112613,195336,277845
Calais Regional Hospital,Board Designated and Undesignated Investments,761427,69881,601667,1634413,1675835
Calais Regional Hospital,Due From Affiliates,,,,,
Calais Regional Hospital,Investments in Affiliates,,,,,
Calais Regional Hospital,Other Non-current Assets,164657,172086,144514,91085,28229
Calais Regional Hospital,"Gross Property, Plant and Equipment",,20309671,33388046,33444030,33312353
Calais Regional Hospital,Accumulated Depreciation,9412905,10462467,11797870,12878981,14101976
Calais Regional Hospital,"Net Property, Plant and Equipment",,10896766,22925579,21646160,20433372
Calais Regional Hospital,Total Unrestricted Assets,16758385,31200833,29642388,29374160,28306133
Calais Regional Hospital,Total Current Liabilities,2684325,3749848,3038426,2858445,2396163
Calais Regional Hospital,Current Long Term Debt,,457441,291752,323000,335400
Calais Regional Hospital,Accounts Payable and Accrued Expenses,2226884,3101096,2715426,2523045,2013114
Calais Regional Hospital,Estimated Third Party Settlements,,,,,
Calais Regional Hospital,Due to Affiliates,,,,,
Calais Regional Hospital,Other Current Liabilities,,357000,,,27049
Calais Regional Hospital,Total Non-current Liabilities,6933064,18281898,17958796,17616943,17261208
Calais Regional Hospital,Long Term Debt,6931318,18280152,17958796,17616943,17261208
Calais Regional Hospital,Estimated Third Party Settlements,,,,,
Calais Regional Hospital,Due to Affiliates,,,,,
Calais Regional Hospital,Self Insurance Fund,,,,,
Calais Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Calais Regional Hospital,Other Non-Current Liabilities,1746,1746,,,
Calais Regional Hospital,Fund Balance Unrestricted,7140998,9169087,8645166,8898772,8648762
Calais Regional Hospital,Total Liabilities & Equity,16758387,31200833,29642388,29374160,28306133
Calais Regional Hospital,Total Restricted Assets,1840800,981060,919676,721011,848636
Calais Regional Hospital,Cash and Investments,1437022,721369,792730,693659,835508
Calais Regional Hospital,Receivables,403778,259691,126946,27352,13128
Calais Regional Hospital,Other Assets,,,,,
Calais Regional Hospital,Total Restricted Liabilities and Equity,1840801,981060,919676,721011,848636
