Hospital,Measure,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Cary Medical Center,Investment in Affiliates,,,,,
Cary Medical Center,Other Non-Current Assets,,,,,
Cary Medical Center,"Gross Property, Plant and Equipment (PP&E)",39265676,41102275,40894843,40977058,41717540
Cary Medical Center,Accumulated Deprecation,32246814,31910957,31231379,30084712,31758701
Cary Medical Center,"Net Property, Plant and Equipment (PP&E)",7018862,9191318,9663464,10892346,9958839
Cary Medical Center,Total Unrestricted Assets,46364741,44730819,38487595,37899609,38603544
Cary Medical Center,Total Current Liabilities,23876312,18492534,11266195,9849420,11843903
Cary Medical Center,Current Long Term Debt (LTD),,56561,119750,715297,522207
Cary Medical Center,Accounts Payable Plus Accrued Expenses,5933956,6566863,6982210,6496407,8975366
Cary Medical Center,Estimated Third Party Settlements,3623756,3962577,3187475,1868518,1781517
Cary Medical Center,Due to Affiliates,,,,,
Cary Medical Center,Other Current Liabilities,14318600,7906533,976760,769198,564813
Cary Medical Center,Total Non-Current Liabilities,219860,822620,1714453,2155352,1569610
Cary Medical Center,Long Term Debt (LTD),46716,668714,1579785,2039922,1473419
Cary Medical Center,Estimated Third Party Settlements,,,,,
Cary Medical Center,Due to Affiliate,,,,,
Cary Medical Center,Self Insurance Fund,,,,,
Cary Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
Cary Medical Center,Other Non-Current Liabilities,173144,153906,134668,115430,96191
Cary Medical Center,Fund Balance Unrestricted,22268569,25415665,25506947,25894837,25190031
Cary Medical Center,Total Liabilities and Equity,46364741,44730819,38487595,37899609,38603544
Cary Medical Center,Total Restricted Assets,74041,74617,76745,87987,88677
Cary Medical Center,Cash and Investments,74041,74617,76745,87987,88677
Cary Medical Center,Receivables,,,,,
Cary Medical Center,Other Assets,,,,,
Cary Medical Center,Total Restricted Liabilities and Equity,74041,74617,76745,87987,88677
Cary Medical Center,Total Restricted Fund Balance,74041,74617,76745,87987,88677
Cary Medical Center,Total Liabilities,,,,,
Cary Medical Center,Temporarily Restricted Net Assets,74041,74617,76745,87987,88677
Cary Medical Center,Permanently Restricted Net Assets,,,,,
Cary Medical Center,Total Gross Patient Service Revenue,126047402,130662385,147364851,162103531,175693959
Cary Medical Center,Gross Inpatient Service Revenue,26988316,26980029,27999199,32633027,34612500
Cary Medical Center,Gross Outpatient Service Revenue,99059086,103682356,119365652,129470504,141081459
Cary Medical Center,Free Care (Charity Care),702218,658537,569453,600816,702279
Cary Medical Center,Bad Debt (Provision for Bad Debt),3499000,2390000,1447000,2528595,3355000
Cary Medical Center,Contractuals,73339293,75266765,85748310,94130849,103191350
Cary Medical Center,Changes in Prior Year Estimated/Final Settlements,363000,583000,132000,-744000,-707000
Cary Medical Center,Net Patient Service Revenue,48143891,51764083,59468088,65587271,69152330
Cary Medical Center,Other Operating Revenue,11909179,14841425,7188715,4163665,3408218
Cary Medical Center,Total Operating Revenue,60053070,66605508,66656803,69750936,72560548
Cary Medical Center,Total Operating Expenses,59266309,63603352,66235385,69378659,73231584
Cary Medical Center,Deprecation and Amoritization,1595163,1512585,1582721,1919124,2031590
Cary Medical Center,Interest,7234,5858,31210,39206,37991
Cary Medical Center,Advertising Expenses,265099,330406,258006,60972,259064
Cary Medical Center,Allowed Advertising Expenses,6610,6693,1223,3042,122
Cary Medical Center,Non-Allowed Advertising Expenses,258489,323713,256783,57930,258942
Cary Medical Center,Salaries and Benefits,29861568,32812284,32079919,34704688,36856543
Cary Medical Center,Other Operating Expenses,27537245,28942219,32283529,32654669,34046396
Cary Medical Center,Net Operating Income,786761,3002156,421418,372277,-671036
Cary Medical Center,Total Non-Operating Revenue,61493,-8839,-35038,-65895,-84400
Cary Medical Center,Total Investment Income,59193,-9417,-37166,-77137,-85090
Cary Medical Center,Interest and Dividends,22824,-7356,-18957,-51694,-63712
Cary Medical Center,Realized Gains/Losses on Sales of Securities,36369,-2061,-18209,-25443,-21378
Cary Medical Center,Permanently Impaired Security Write Downs,,,,,
Cary Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Cary Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Cary Medical Center,"Other Non Operating Revenues (Gifts, Bequests,",2300,578,2128,11242,690
Cary Medical Center,Excess of Revenue Over Expenses,848254,2993317,386380,306382,-755436
Cary Medical Center,Extraordinary Gains/Losses,,,,,
Cary Medical Center,Total Surplus/Deficit,848254,2993317,386380,306382,-755436
Cary Medical Center,Total Change in Unrestricted Net Assets,922371,3145249,94420,418711,-672840
Cary Medical Center,Net Assets Released for Restrictions - Capital,39222,258166,24510,5267,54875
Cary Medical Center,Unrealized Gains/Losses on Investments,34895,-106234,-316470,107062,27721
Cary Medical Center,Minimum Pension Liability Adjustment,,,,,
Cary Medical Center,Transfers from/To Affiliates,,,,,
Cary Medical Center,Mergers,,,,,
Cary Medical Center,Consolidations with Support Organizations,,,,,
Cary Medical Center,Other Changes,,,,,
Central Maine Medical Center,Total Current Assets,134195923,100168936,80554588,98107471,90097874
Central Maine Medical Center,Cash and Investments,61444951,25511415,4060836,4646422,4195030
Central Maine Medical Center,Current Assets Whose Use is Limited,4055990,5528066,5619028,5686460,5793835
Central Maine Medical Center,Net Patient Accounts Receivable,39925804,49283428,39623596,41331194,41055758
Central Maine Medical Center,Due From Affiliates,4195880,1,1656018,10641630,3051548
Central Maine Medical Center,Third Party Settlements,8876198,5063185,7963181,17125030,19583535
Central Maine Medical Center,Other Accounts Receivable,,,,,
Central Maine Medical Center,Inventory,8833266,9416178,9541688,11094021,11393363
Central Maine Medical Center,Other Current Assets,6863834,5366663,12090241,7582714,5024805
Central Maine Medical Center,Total Non-Current Assets,152596830,146940134,165997113,151058392,144297891
Central Maine Medical Center,Trustee Held Investments,12622452,12584406,12435807,12530866,12707068
Central Maine Medical Center,Board Designated & Undesignated Investments,,,,1689379,1696708
Central Maine Medical Center,Due from Affiliates,,,,,
Central Maine Medical Center,Investment in Affiliates,,,,,
Central Maine Medical Center,Other Non-Current Assets,20435707,23969443,17381867,9439180,8968863
Central Maine Medical Center,"Gross Property, Plant and Equipment (PP&E)",431270685,433366909,472724087,475982289,479644870
Central Maine Medical Center,Accumulated Deprecation,311732014,322980624,336544648,348583322,358719618
Central Maine Medical Center,"Net Property, Plant and Equipment (PP&E)",119538671,110386285,136179439,127398967,120925252
Central Maine Medical Center,Total Unrestricted Assets,286792753,247109070,246551701,249165863,234395765
Central Maine Medical Center,Total Current Liabilities,173659780,73440555,67082615,54185711,57238087
Central Maine Medical Center,Current Long Term Debt (LTD),5633046,5466747,7744893,14923007,9619041
Central Maine Medical Center,Accounts Payable Plus Accrued Expenses,50531670,41962262,37263735,32396018,33536778
Central Maine Medical Center,Estimated Third Party Settlements,40228979,24948896,19679628,4813187,5820045
Central Maine Medical Center,Due to Affiliates,,,,77649,6654180
Central Maine Medical Center,Other Current Liabilities,77266085,1062650,2394359,1975850,1608043
Central Maine Medical Center,Total Non-Current Liabilities,106811329,109479033,113434001,108954546,106186976
Central Maine Medical Center,Long Term Debt (LTD),101095794,96850637,114730313,109856200,102644685
Central Maine Medical Center,Estimated Third Party Settlements,,10575333,391915,,
Central Maine Medical Center,Due to Affiliate,,,,,
Central Maine Medical Center,Self Insurance Fund,1255563,,,,
Central Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,334889,-11460938,-18316598,-15834872,-11142854
Central Maine Medical Center,Other Non-Current Liabilities,4125083,13514001,16628371,14933218,14685145
Central Maine Medical Center,Fund Balance Unrestricted,6321644,64189482,66035085,86025606,70970702
Central Maine Medical Center,Total Liabilities and Equity,286792753,247109070,246551701,249165863,234395765
Central Maine Medical Center,Total Restricted Assets,26937438,23042072,21444509,28377223,31636834
Central Maine Medical Center,Cash and Investments,26937438,23042072,21444509,28377223,31636834
Central Maine Medical Center,Receivables,,,,,
Central Maine Medical Center,Other Assets,,,,,
Central Maine Medical Center,Total Restricted Liabilities and Equity,26937438,23042072,21444509,28377223,31636834
Central Maine Medical Center,Total Restricted Fund Balance,26937438,23042072,21444509,28377223,31636834
Central Maine Medical Center,Total Liabilities,,,,,
Central Maine Medical Center,Temporarily Restricted Net Assets,13185521,4531283,2973772,5596806,6188174
Central Maine Medical Center,Permanently Restricted Net Assets,13751917,18510789,18470737,22780417,25448660
Central Maine Medical Center,Total Gross Patient Service Revenue,942648823,1039078438,1042166473,1170474734,1249221933
Central Maine Medical Center,Gross Inpatient Service Revenue,431474270,447342914,424820011,435034603,476415793
Central Maine Medical Center,Gross Outpatient Service Revenue,511174553,591735524,617346462,735440131,772806140
Central Maine Medical Center,Free Care (Charity Care),3739004,2872404,1734711,1886183,6051859
Central Maine Medical Center,Bad Debt (Provision for Bad Debt),21930482,31015833,28472404,29151012,39947695
Central Maine Medical Center,Contractuals,577979554,642468123,641488635,742578641,796595973
Central Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,,,,,
Central Maine Medical Center,Net Patient Service Revenue,338999783,362722078,370470723,396858898,406626406
Central Maine Medical Center,Other Operating Revenue,68955306,56761353,84564724,82791177,70690986
Central Maine Medical Center,Total Operating Revenue,407955089,419483431,455035447,479650075,477317392
Central Maine Medical Center,Total Operating Expenses,418689717,438501918,480358563,498924495,505216304
Central Maine Medical Center,Deprecation and Amoritization,19073757,19102726,17608663,17794434,15246892
Central Maine Medical Center,Interest,4600557,4365303,3566264,4628598,4730744
Central Maine Medical Center,Advertising Expenses,80106,80036,68809,57879,69125
Central Maine Medical Center,Allowed Advertising Expenses,,,,,
Central Maine Medical Center,Non-Allowed Advertising Expenses,80106,80036,68809,57879,69125
Central Maine Medical Center,Salaries and Benefits,230396394,231358821,252843211,269813806,293326391
Central Maine Medical Center,Other Operating Expenses,164538903,183595032,206271616,206629778,191843152
Central Maine Medical Center,Net Operating Income,-10734628,-19018487,-25323116,-19274420,-27898912
Central Maine Medical Center,Total Non-Operating Revenue,474392,547898,522441,-499333,-2243834
Central Maine Medical Center,Total Investment Income,507423,378287,333564,250254,489015
Central Maine Medical Center,Interest and Dividends,224445,144390,177569,360175,625022
Central Maine Medical Center,Realized Gains/Losses on Sales of Securities,282978,233897,155995,-109921,-136007
Central Maine Medical Center,Permanently Impaired Security Write Downs,,,,,
Central Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,673944,93186,251576,-732160,-286380
Central Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Central Maine Medical Center,"Other Non Operating Revenues (Gifts, Bequests,",-706975,76425,-62699,-17427,-2446469
Central Maine Medical Center,Excess of Revenue Over Expenses,-10260236,-18470589,-24800675,-19773753,-30142746
Central Maine Medical Center,Extraordinary Gains/Losses,-461392,,,,
Central Maine Medical Center,Total Surplus/Deficit,-10721628,-18470589,-24800675,-19773753,-30142746
Central Maine Medical Center,Total Change in Unrestricted Net Assets,-10743666,57285320,1845553,19990571,-15054903
Central Maine Medical Center,Net Assets Released for Restrictions - Capital,136087,,387636,512331,232477
Central Maine Medical Center,Unrealized Gains/Losses on Investments,-158125,-31210,-658907,771265,348823
Central Maine Medical Center,Minimum Pension Liability Adjustment,,4315691,5561580,-1741708,-512650
Central Maine Medical Center,Transfers from/To Affiliates,,71471428,21355919,40222436,15019193
Central Maine Medical Center,Mergers,,,,,
Central Maine Medical Center,Consolidations with Support Organizations,,,,,
Central Maine Medical Center,Other Changes,,,,,
Down East Community Hospital,Total Current Assets,25893882,28021221,22837263,21957762,30335044
Down East Community Hospital,Cash and Investments,18458376,22200627,14733471,14562016,24069644
Down East Community Hospital,Current Assets Whose Use is Limited,1266348,443771,476774,466919,471748
Down East Community Hospital,Net Patient Accounts Receivable,3423722,3559929,3369242,4420007,4170574
Down East Community Hospital,Due From Affiliates,,,,,
Down East Community Hospital,Third Party Settlements,1189949,,2038646,649948,
Down East Community Hospital,Other Accounts Receivable,469987,628013,996182,951830,596712
Down East Community Hospital,Inventory,673521,706919,795415,642962,653602
Down East Community Hospital,Other Current Assets,411979,481962,427533,264080,372764
Down East Community Hospital,Total Non-Current Assets,22702616,26567737,26500402,24429681,23747671
Down East Community Hospital,Trustee Held Investments,,,,,
Down East Community Hospital,Board Designated & Undesignated Investments,7443549,5507206,2326706,2575546,2910401
Down East Community Hospital,Due from Affiliates,,,,,
Down East Community Hospital,Investment in Affiliates,,,,,
Down East Community Hospital,Other Non-Current Assets,,,467924,317445,649794
Down East Community Hospital,"Gross Property, Plant and Equipment (PP&E)",38728657,46174779,50802436,51194182,52028702
Down East Community Hospital,Accumulated Deprecation,23469590,25114248,27096664,29657492,31841226
Down East Community Hospital,"Net Property, Plant and Equipment (PP&E)",15259067,21060531,23705772,21536690,20187476
Down East Community Hospital,Total Unrestricted Assets,48596498,54588958,49337665,46387443,54082715
Down East Community Hospital,Total Current Liabilities,15356744,13257708,6458063,7043460,10988003
Down East Community Hospital,Current Long Term Debt (LTD),891500,921784,1085605,1019140,867344
Down East Community Hospital,Accounts Payable Plus Accrued Expenses,4270616,4455627,4598000,5620872,5202199
Down East Community Hospital,Estimated Third Party Settlements,9676023,478396,,,4503109
Down East Community Hospital,Due to Affiliates,,,,,
Down East Community Hospital,Other Current Liabilities,518605,7401901,774458,403448,415351
Down East Community Hospital,Total Non-Current Liabilities,17401880,13106109,12746051,10020570,9531700
Down East Community Hospital,Long Term Debt (LTD),11815766,11102877,11103548,10020570,9531700
Down East Community Hospital,Estimated Third Party Settlements,2690000,,,,
Down East Community Hospital,Due to Affiliate,,,,,
Down East Community Hospital,Self Insurance Fund,,,,,
Down East Community Hospital,Accrued Pension and Post Retiree Health Benefits,2896114,2003232,1642503,,
Down East Community Hospital,Other Non-Current Liabilities,,,,,
Down East Community Hospital,Fund Balance Unrestricted,15837874,28225141,30133551,29323413,33563012
Down East Community Hospital,Total Liabilities and Equity,48596498,54588958,49337665,46387443,54082715
Down East Community Hospital,Total Restricted Assets,1579481,1690012,1646095,1667459,1706096
Down East Community Hospital,Cash and Investments,1579481,1690012,1646095,1617459,1706096
Down East Community Hospital,Receivables,,,,50000,
Down East Community Hospital,Other Assets,,,,,
Down East Community Hospital,Total Restricted Liabilities and Equity,1579481,1690012,1646095,1667458,1706096
Down East Community Hospital,Total Restricted Fund Balance,1579481,1690012,1646095,1667458,1706096
Down East Community Hospital,Total Liabilities,,,,,
Down East Community Hospital,Temporarily Restricted Net Assets,176951,287482,243565,264928,303565
Down East Community Hospital,Permanently Restricted Net Assets,1402530,1402530,1402530,1402530,1402531
Down East Community Hospital,Total Gross Patient Service Revenue,100711861,112173900,115420642,121564926,136306006
Down East Community Hospital,Gross Inpatient Service Revenue,13125749,12837681,13309624,16270396,13717960
Down East Community Hospital,Gross Outpatient Service Revenue,87586112,99336219,102111018,105294530,122588046
Down East Community Hospital,Free Care (Charity Care),875000,418250,485967,237644,222904
Down East Community Hospital,Bad Debt (Provision for Bad Debt),2860502,2924405,3069967,2967433,3017854
Down East Community Hospital,Contractuals,50557310,56356143,56178052,58329025,70784891
Down East Community Hospital,Changes in Prior Year Estimated/Final Settlements,-504500,-631000,-1494462,,
